,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
81,['2024-08-17T17:17:28Z'],['UgxievozI-0FjS_OPBp4AaABAg'],😂 hey pragyan say paneer 😂 it&#39;s funny,[0],[1],hey pragyan say paneer it39s funny
82,['2024-08-16T17:16:09Z'],['UgwdS_tc1rYGs1ceKRd4AaABAg'],tomorrow science presentation watching today dhruv sir&#39;s video thank sir please pray 😅 btw whole preparation done getting knowledge body language dhruv sir look cool........!!😊,[0],[3],tomorrow science presentation watching today dhruv sir39s video thank sir please pray btw whole preparation done getting knowledge body language dhruv sir look cool
83,['2024-08-15T05:23:49Z'],['UgyEtQALzOOv1rUspit4AaABAg'],yaarr itna best channel hai ye apka itni knowledge insan lesakta hai channel se..♥️👍🏻😢 seriously sir mujhe aisa lgta hai agar apko bhi insab chizo k liye select kiya jaye ap bhi isme apna 100% doge sabko proud feel kraoge,[0],[3],yaarr itna best channel hai ye apka itni knowledge insan lesakta hai channel se seriously sir mujhe aisa lgta hai agar apko bhi insab chizo k liye select kiya jaye ap bhi isme apna 100 doge sabko proud feel kraoge
86,['2024-08-12T16:35:17Z'],['UgwGs8zG9nCjuOQUmAJ4AaABAg'],outstanding,[0],[0],outstanding
88,['2024-08-08T16:51:08Z'],['UgwYX0t0trYhUBuB9P14AaABAg'],photo ka si rahti hai,[0],[0],photo ka si rahti hai
89,['2024-08-08T06:59:08Z'],['Ugz7dXsnUg8cfDn9kkx4AaABAg'],india 🇮🇳 india ham duniya pr raj krenge,[0],[0],india india ham duniya pr raj krenge
90,['2024-08-07T17:36:57Z'],['UgwDuZiudNcZ3m2v0EJ4AaABAg'],iske aage kya hua tha bhai video banao 😊😊😊,[0],[0],iske aage kya hua tha bhai video banao
91,['2024-08-07T15:34:53Z'],['UgwNQCjDbFe55RuwNAR4AaABAg'],india ne 2009 moon k south pole missile chhoda tha?,[0],[0],india ne 2009 moon k south pole missile chhoda tha
92,['2024-08-07T14:49:51Z'],['UgxyzAAOAFTUILDDzGF4AaABAg'],dhruv dont say soft corner us.,[0],[0],dhruv dont say soft corner us
96,['2024-08-02T08:17:05Z'],['UgyNKwAXczI5Ya5JESB4AaABAg'],2024 kon kon dekh rha hai 😂,[0],[0],2024 kon kon dekh rha hai
97,['2024-07-31T19:07:42Z'],['UgwQnpYzqr9dzy1K-MZ4AaABAg'],desshrohi,[0],[0],desshrohi
98,['2024-07-28T14:41:23Z'],['UgwJWL4ieKDN3gvbxhV4AaABAg'],f;fhgfyifuuyr8yjnf,[0],[0],ffhgfyifuuyr8yjnf
99,['2024-07-27T18:12:53Z'],['Ugz04boDGthoYQAqo8B4AaABAg'],chandrayaan 2 failure corona?,[0],[0],chandrayaan 2 failure corona
100,['2024-07-27T18:06:36Z'],['UgwjZ4hggg8SuJuphzF4AaABAg'],"resource building process,, venus,, venus come earth orbit gravity sun lowers",[0],[0],resource building process venus venus come earth orbit gravity sun lowers
101,['2024-07-27T07:07:17Z'],['UgzEIaTYvm07lmY3IPV4AaABAg'],bhai earthki tarah ham log chand ke andar kyon nahin ja sakte,[1],[0],bhai earthki tarah ham log chand ke andar kyon nahin ja sakte
102,['2024-07-25T23:56:14Z'],['Ugyi2cPAzzUfePPSSiB4AaABAg'],"hell uae this??? scratch groin, eat dates, smoke shisha, drink coffee divorce wives. moon, science, physics, mathematics etc them!!!",[0],[0],hell uae this scratch groin eat dates smoke shisha drink coffee divorce wives moon science physics mathematics etc them
103,['2024-07-24T16:06:41Z'],['UgwHxXrERw9xioHQNm94AaABAg'],"indian, i’m happy chandrayaan 3, i’m sad couldn’t come back life😢 (for ppl don’t know, chandrayaan 3 kept hibernation mode survive lunar nights, sadly couldn’t survive stayed mark india)♥️",[0],[1],indian im happy chandrayaan 3 im sad couldnt come back life for ppl dont know chandrayaan 3 kept hibernation mode survive lunar nights sadly couldnt survive stayed mark india
106,['2024-07-23T12:27:14Z'],['Ugz_tTiWSrhqCuK_rcl4AaABAg'],useful information dhruv beta. excellent job.keep up.c u.,[0],[0],useful information dhruv beta excellent jobkeep upc u
107,['2024-07-22T13:33:16Z'],['UgwG7RpJYZaZe2UBP3t4AaABAg'],sirji app rajnitee se dur hojo ase video bano,[0],[0],sirji app rajnitee se dur hojo ase video bano
108,['2024-07-22T08:46:49Z'],['UgysceS4d8QjgUKd6xl4AaABAg'],magal grap par bhejo sir❤,[1],[0],magal grap par bhejo sir
109,['2024-07-21T21:17:00Z'],['Ugwe3_MMYOTpiMV6xyt4AaABAg'],"moon landing always fake show u cgi cartoons, put monkey building 30s also put man moon",[7],[1],moon landing always fake show u cgi cartoons put monkey building 30s also put man moon
110,['2024-07-21T08:51:52Z'],['UgzXc00L3miiOE58zlt4AaABAg'],apollo 20,[0],[0],apollo 20
111,['2024-07-19T05:46:32Z'],['Ugz388pilCLc-DhoFLt4AaABAg'],2024 wale like kore,[0],[0],2024 wale like kore
112,['2024-07-15T17:25:24Z'],['UgzxKLHaORcju1MnAXt4AaABAg'],kitne bikaa tu😂😂😂😂😂,[0],[1],kitne bikaa tu
113,['2024-07-14T13:32:38Z'],['UgwaziOa_23J7UGLVeN4AaABAg'],tumo sala sirf india ka burai dikhta hai,[0],[0],tumo sala sirf india ka burai dikhta hai
115,['2024-07-11T13:26:48Z'],['UgztLiZ7-l682Bp60N14AaABAg'],answer mission life lander robber,[0],[0],answer mission life lander robber
116,['2024-07-10T09:23:46Z'],['UgxBAQBPnJOj0LvZBg54AaABAg'],jj,[0],[0],jj
120,['2024-06-28T15:26:22Z'],['UgzdTAx3t3s96GWuD2B4AaABAg'],"one day earth destroy due countries god gives us sun ,moon rainy season,winter season mentals people destroy whole earth due unlogical mission peoples",[0],[0],one day earth destroy due countries god gives us sun moon rainy seasonwinter season mentals people destroy whole earth due unlogical mission peoples
122,['2024-06-23T09:04:17Z'],['UgyLWlBrUkkJk3kzpe14AaABAg'],pakistani kuty,[0],[1],pakistani kuty
123,['2024-06-20T19:05:47Z'],['UgxgyIJvxKJq5GyWJgJ4AaABAg'],please india mars mission par video banaiye.,[0],[0],please india mars mission par video banaiye
124,['2024-06-19T06:45:33Z'],['UgwRzmrnrqovgN-zm9p4AaABAg'],"pilzz sir , ek video banana ho iss video name apollo 17 18 manie kyaa huaa ilzz janna na hai 😭😭😭😭😭😭😭",[0],[0],pilzz sir ek video banana ho iss video name apollo 17 18 manie kyaa huaa ilzz janna na hai
127,['2024-06-16T16:51:53Z'],['UgwwJYSiXnYNUC7Fvwp4AaABAg'],@dhruvrathee sir haryana bjp sarkar dwara ki gyi cplo bharti ke scam ke baare bhi awaj uthaiye berojgar yuvao ke sath haryana sarkar ne ab tk ka sabse bada mjak kiya hai sabhi ki bhawnao k sath khilwad kiya hai bharti cplo ki karwa kar usko bhago bant diya cplo+lclo cplo ki salary 6000 per month rakhi h wahi lclo ko koi salary na dekar sirf commission base rkha h mehngai commission base 20 rs per entry k hisab se banda ghar kaise chalayega pls aap hi sahara ho humara ek video bna k sarkar k scam ko expose kriye kyu ke aane wale election ye bharti ko dikha k humne yuvao ko rojgar diya hai uske base pr vote mangege ye sarasar galat h pls sir make video topic jitne b qualified candidate hai sab postgraduate hai ek post graduate banda kya sirf 6000 ya commission k liye hi kaam krega,[0],[0],dhruvrathee sir haryana bjp sarkar dwara ki gyi cplo bharti ke scam ke baare bhi awaj uthaiye berojgar yuvao ke sath haryana sarkar ne ab tk ka sabse bada mjak kiya hai sabhi ki bhawnao k sath khilwad kiya hai bharti cplo ki karwa kar usko bhago bant diya cplolclo cplo ki salary 6000 per month rakhi h wahi lclo ko koi salary na dekar sirf commission base rkha h mehngai commission base 20 rs per entry k hisab se banda ghar kaise chalayega pls aap hi sahara ho humara ek video bna k sarkar k scam ko expose kriye kyu ke aane wale election ye bharti ko dikha k humne yuvao ko rojgar diya hai uske base pr vote mangege ye sarasar galat h pls sir make video topic jitne b qualified candidate hai sab postgraduate hai ek post graduate banda kya sirf 6000 ya commission k liye hi kaam krega
128,['2024-06-15T19:32:44Z'],['UgzqhIKB13nwcLEehN94AaABAg'],indian government ki sara kam apko galat lagta. ye pehla video jisme kuch negetive nehi bola. saram ana chahiye 😅😅😅,[0],[0],indian government ki sara kam apko galat lagta ye pehla video jisme kuch negetive nehi bola saram ana chahiye
129,['2024-06-14T15:53:20Z'],['UgzjoTEbN6YZh9xe_Ct4AaABAg'],information helpful competitive exam,[0],[5],information helpful competitive exam
130,['2024-06-14T08:59:13Z'],['Ugw7jufEB1ZbvV1cBKp4AaABAg'],rathee ji op,[0],[0],rathee ji op
131,['2024-06-11T17:03:23Z'],['UgwQjcR3I1Eyouk431h4AaABAg'],sir chandrayan 3 ka kya huaa,[0],[0],sir chandrayan 3 ka kya huaa
132,['2024-06-10T03:21:19Z'],['UgxOW08hCOpy1Lkt8fN4AaABAg'],give salute isro,[0],[0],give salute isro
133,['2024-06-09T08:44:41Z'],['UgwZ6dM9C-wyKzqtSjF4AaABAg'],thank sir videos profitable,[0],[5],thank sir videos profitable
134,['2024-06-08T06:03:06Z'],['UgzDg8xqHXOej-grmOR4AaABAg'],kalpana chawla bhi thi,[0],[0],kalpana chawla bhi thi
135,['2024-06-06T19:16:05Z'],['UgycC9K-wC6rHgAQjrN4AaABAg'],inko yhi nhi pta 1 lunar day = 14 days research kami h 😅😅,[0],[0],inko yhi nhi pta 1 lunar day 14 days research kami h
136,['2024-06-03T16:38:45Z'],['UgwuTKsgygWCUmlVQ1V4AaABAg'],lekin bhai esme na dhruv rathi ne modi ke liye ek bhi sabd nhi bol sakta scenestist saport ke liye aur na uske subscribers khus ho lekin esme modi ki bhi thodi si vajah hai salo modi virodhi,[1],[0],lekin bhai esme na dhruv rathi ne modi ke liye ek bhi sabd nhi bol sakta scenestist saport ke liye aur na uske subscribers khus ho lekin esme modi ki bhi thodi si vajah hai salo modi virodhi
138,['2024-06-03T00:26:24Z'],['UgyK8IPmpk4HPhdW5Xp4AaABAg'],proud bro,[0],[0],proud bro
139,['2024-05-29T10:40:16Z'],['Ugy90gjEYvXRgb_jPOJ4AaABAg'],sahi kehte ho,[0],[1],sahi kehte ho
140,['2024-05-28T03:39:37Z'],['UgxlHsg-X-W8sqEJ3_x4AaABAg'],dream usa like comment,[0],[1],dream usa like comment
141,['2024-05-23T09:25:53Z'],['Ugz_aV0CZL2G5G_Cnl94AaABAg'],beta dhruv rathee abhi chand per ek jhanda gada hai abhi puri duniya mein jhanda gana baki hai,[3],[0],beta dhruv rathee abhi chand per ek jhanda gada hai abhi puri duniya mein jhanda gana baki hai
142,['2024-05-20T11:07:32Z'],['UgxSUV1beJjwm4yJJKd4AaABAg'],mars mission video banaye,[0],[0],mars mission video banaye
145,['2024-05-19T08:02:01Z'],['UgzxcAu2Dd1Fdvg-6Ft4AaABAg'],salute 🖐️,[0],[0],salute
146,['2024-05-19T06:11:35Z'],['Ugy_cXNny1R1FGhSvch4AaABAg'],🌎earth chapti hai 😄,[0],[0],earth chapti hai
148,['2024-05-18T12:50:18Z'],['UgybKqPsaQxeZRsTBOp4AaABAg'],china se kitne milte hai?,[0],[0],china se kitne milte hai
149,['2024-05-18T12:49:03Z'],['UgzCcdHGu007El7V_0B4AaABAg'],tu apni sister nu chhode ga ki nahi?,[0],[0],tu apni sister nu chhode ga ki nahi
150,['2024-05-18T05:01:22Z'],['UgyXDsGTays88AnIbIJ4AaABAg'],eveywhere water,[0],[0],eveywhere water
151,['2024-05-17T04:27:46Z'],['UgxlWYlFKiNcoYotr7h4AaABAg'],mubark.biganimo.slam,[0],[0],mubarkbiganimoslam
152,['2024-05-17T04:26:28Z'],['UgyLO3z7tl_EEvp8PK14AaABAg'],thnaks.india,[0],[0],thnaksindia
153,['2024-05-15T16:59:57Z'],['UgzRrZ8zfGusKxxkTvt4AaABAg'],"fake indian moon landing 😆, fool modi scientists 😅",[1],[1],fake indian moon landing fool modi scientists
154,['2024-05-15T12:39:30Z'],['UgxH1cFYlQEXF7zEjj14AaABAg'],modi ko bar pathano cayee,[0],[0],modi ko bar pathano cayee
155,['2024-05-15T03:47:11Z'],['UgwjVUsWihZenEvprot4AaABAg'],kitni bar bataaoge yah sab,[0],[0],kitni bar bataaoge yah sab
157,['2024-05-13T09:36:48Z'],['Ugwlg7Cuxh33_E_iAS94AaABAg'],please make 1 space video...i like space videos much🎉🎉,[0],[0],please make 1 space videoi like space videos much
158,['2024-05-10T07:05:36Z'],['UgyFMCcl92zqr1O8hNd4AaABAg'],congratulations achievement : from🇵🇰,[0],[1],congratulations achievement from
160,['2024-04-30T07:12:42Z'],['UgxV-6wHEqEYqchEj9F4AaABAg'],chua bahut jada bolta hai.... bangal bara q nii bolta hai,[0],[1],chua bahut jada bolta hai bangal bara q nii bolta hai
161,['2024-04-29T18:48:05Z'],['Ugz2zdtzktzxQfInRgV4AaABAg'],bhaiya ek crypto par ath token par video bnaao please,[0],[0],bhaiya ek crypto par ath token par video bnaao please
163,['2024-04-28T14:47:10Z'],['UgwVFoeH1q76XGxdEqh4AaABAg'],koi asa bahi dekh raha hai jo roz chand pr hota hai 😅,[0],[1],koi asa bahi dekh raha hai jo roz chand pr hota hai
164,['2024-04-26T14:07:37Z'],['Ugz_6hi4u2PIICLjDQx4AaABAg'],"specific, shape isn&#39;t going search exoplanet directly, rather it&#39;s going take spectroscopic images earth develop knowledge base spectroscopic information typical habitable planet. future, they&#39;re going use knowledge exoplanet studies.",[0],[0],specific shape isn39t going search exoplanet directly rather it39s going take spectroscopic images earth develop knowledge base spectroscopic information typical habitable planet future they39re going use knowledge exoplanet studies
166,['2024-04-23T15:50:28Z'],['Ugxn-jHZb-5TzzBIxa14AaABAg'],love islam ❤❤❤,[0],[2],love islam
167,['2024-04-23T14:04:46Z'],['Ugy7Ydsr6LbH-BRTqd94AaABAg'],love education ❤❤❤,[0],[2],love education
169,['2024-04-16T12:53:19Z'],['UgxBxeoR1Qyx5Tm1C2x4AaABAg'],grea ❤,[0],[2],grea
171,['2024-04-10T21:39:12Z'],['Ugz62-617RTJsphW8DJ4AaABAg'],shob janta sale google ki sale,[0],[1],shob janta sale google ki sale
176,['2024-04-07T19:35:51Z'],['UgxgMKNiIzqD0mVL0SF4AaABAg'],modi hatao desh bachao ye sab koi bhi pradhan mantri kar sakta hai,[0],[1],modi hatao desh bachao ye sab koi bhi pradhan mantri kar sakta hai
177,['2024-04-07T19:18:15Z'],['Ugx2p6l88i1CH5UHgqV4AaABAg'],bhai achi baat hai ❤❤❤,[0],[1],bhai achi baat hai
178,['2024-04-07T11:47:31Z'],['Ugw5UsJ6xOF5hdFI9YR4AaABAg'],baki thk h lekin mission ka naam sahi rkh lety yj log. chandrayan kya h. kuch mh mila,[4],[1],baki thk h lekin mission ka naam sahi rkh lety yj log chandrayan kya h kuch mh mila
179,['2024-04-06T01:27:32Z'],['UgzdlZ7FOhm_9H9LxDl4AaABAg'],"itna achchha presentation truthful, mujhe aap par garv hai pranam sir",[0],[1],itna achchha presentation truthful mujhe aap par garv hai pranam sir
180,['2024-04-05T06:18:35Z'],['UgyhGrfAB8vvZ03Vkod4AaABAg'],moye moye chandar yan 3 ke bhi signal lost india moye moye rover bhi gya,[3],[2],moye moye chandar yan 3 ke bhi signal lost india moye moye rover bhi gya
181,['2024-04-02T17:43:16Z'],['Ugwolrd2tay2lwE4P114AaABAg'],hamari pyaare nabi pak ne apne ungli se chand ko tukde kiya tha,[1],[1],hamari pyaare nabi pak ne apne ungli se chand ko tukde kiya tha
182,['2024-03-31T07:59:15Z'],['UgyHBJGkiLVmab-68314AaABAg'],clear inspiring xplanation yaar...im subscribing chnnel mr druv rathri,[0],[0],clear inspiring xplanation yaarim subscribing chnnel mr druv rathri
183,['2024-03-24T18:49:45Z'],['UgwDwbweEJ60-nUeu5F4AaABAg'],waw,[0],[1],waw
184,['2024-03-24T14:07:24Z'],['UgwEQnvZEdh3v3OTZvd4AaABAg'],moon landing fake propaganda elite &amp; nobody go moon 🌙 that’s video evidence made available even 21st century camera technology,[2],[0],moon landing fake propaganda elite amp nobody go moon thats video evidence made available even 21st century camera technology
185,['2024-03-19T17:51:57Z'],['UgzfRbo6qdTLMG_bQ1l4AaABAg'],god job thank knowledge dhruv bhai love mach man.❤,[0],[0],god job thank knowledge dhruv bhai love mach man
186,['2024-03-19T03:34:37Z'],['UgxcJ7DaG_rrVy52Wbp4AaABAg'],proud indian ❤ ❤☆&quot;bharat mata ki jay&quot;☆❤,[0],[0],proud indian quotbharat mata ki jayquot
187,['2024-03-16T14:22:30Z'],['UgxeLchudBLGhSgdVN54AaABAg'],proud thing indians❤❤ jai hind❤❤,[0],[1],proud thing indians jai hind
188,['2024-03-16T06:11:08Z'],['Ugy9nb-gsM4s8-ExsFx4AaABAg'],yuri gagrin russia 🇷🇺,[0],[0],yuri gagrin russia
