Cleaned_Comment,Predicted_Sentiment
pure gossbums,negative
captain sharma jione more trphy for india,positive
my golden era gonna share with my kids one day,positive
no bumrah no cup,negative
jasprit bumrah pride of india,positive
what a movie absolutely banger,positive
skins come to shiver thats what this means to indians,negative
first world cup when there wasnt south africa second when india in south africaand third world cup there was coach from south africaand in fourth world there was oposite site of south africa,negative
icc finals with ian smiths commentary match made in heaven,positive
jassi jesa koi nahi,negative
hardik redemption arc,positive
sandeep,positive
underrated hero rishabh pant,negative
jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne,negative
always tears in my eyes when saw this video,positive
what a edit by icc,positive
india will win because jasprit bumrah wicket,positive
feeling very much happy when aiden markram was crying,positive
really goosebumps,negative
its time for champions trophy,positive
one of the greatest catches when you looks at the occasion and pressure,positive
video,positive
kuldeep the ultimate choker hope varun plays in champion trophy,negative
respect for south africa team,positive
klasen ki batting dekh kar kis kiske gote munh me aa gaye the,negative
thanks to india because when ever i feel low i watched this video,negative
what a moment india after winning tha cup,positive
last few seconds emotions at peak,positive
this is the one of those video that i can watch everyday,positive
south africa but i am indian,positive
what happens to sa in icc tournaments,negative
everything is great but nothing can beat long onnnnn long onnnnnnnn long onnnnnnnnnnnnnnnnnn surya kuuuuuuumar yadav,negative
all time best match,positive
south africa are real choker of world cricket,negative
long off will be always remembered,negative
this wc was really the most important wc for india,positive
why no one talk about hardik,negative
heart breaking for the two nations having green colour on their jersey,negative
this one for israel,positive
our bowling,positive
and from here we got quoti only believe in jassi bhai game changer player he isquot,positive
long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch,negative
hardik pandya should be the captain,positive
love you india from bangladesh,positive
pakistan cricket is finished,negative
this video gives me literal goosebumps proud to be an indian,positive
clutch god hardik,negative
this video like a action movie trailer,positive
yeh video dekh ta hai toh ajj bhi rona ata hain kya din tha yeh din,negative
every second is a goosebump for us,positive
everytime i see i get tears in my eyes the tears of joy thanku team india we love you for this amazing experience,positive
upload full match highlights,positive
editing deserves a special award,positive
test or odi match spell shami harshadeepboomra,positive
ian smith man o man what a voice he has,positive
im crying now also after seeing this vedio,negative
i am not crying its just something in the eye,neutral
one of the best cricket world cup final ever played,positive
busting a nut to this,negative
best memories,positive
lets win that champions trophy now,positive
superb editing loved it from every corner,positive
want ghosebums watch this on repeat,negative
anyone after bgt,positive
maybe im biased but where is malik for the bowlers when you have one of the fastest bowlers in ipl history on your side why not have kohli coach him a bit on some bowls and have him get more wickets seems like a waste but so proud that india won much deserved,negative
how many times have you watched this me yes,positive
bgt harne ka dukh tha phir yeh video dekh liyasokoon,positive
after bgt loss,negative
is match ka hero axar patel tha,positive
indian cricket team great memories,positive
watch this video thousands of times still it feels satisfying,positive
my eyes are filled with water i dont know why its un stopbale this is nation pride,positive
india your father,positive
again this was not possible without bumrah,positive
i believe on jassi bhai,positive
goose bumps moment,positive
hare krishna,positive
background bgm always increasing the goosebumps,negative
please next match come here to,positive
who win who win who win,positive
pak be like proud of my father,positive
i had a goosebumps when klassen and miller were hitting but when hardik take the wicket my goosebumps were over and then surya take the best catch and we won,positive
congratulations bangladesh your grandfather win the world cup,positive
the same day when whole cricket world was cried with happyly and all viratian cried,positive
this is epic,positive
man nominate this edit for an oscar this is cricket passion sweat tears pain and ultimately victory congratulations to the indian national team what a hard earned victory some of the best players in the world fighting to show their strength and integrity,positive
wo sb to theek h per south africa hi kyu ese moment per fasti h rcb bn gyi h international ki,positive
goosebumps on its peak,positive
the day we indians smiled and cried,positive
underrated arshdeep,negative
icc needs to produce more of this kinds of highlights,positive
today is my birthday but zero like and subscribe,negative
same feeling,positive
repid bole to bolti band khamosh silent motivation,positive
literally goosebumps while wearing earphones,negative
david miller was like the final boss,positive
still and will always,positive
i only believe in jassi bhai game changer player he is the only one,positive
klassen was smashing i was,negative
bumrah and aeshdeep,positive
this win is for pakistan also and bangladesh also because pakistan is our son and bangladesh is our granddaughter,positive
miller gets it and then,positive
hardik pandya the real hero of that match,positive
arshdeep the unsung hero,positive
its coming tears in my eyes,negative
congratulations team india proud of you,positive
emotion,positive
pakistan ye kon jita hai virat dhyan se dekh tere papa jite hai,negative
this montage gave me chills,positive
today anyone,positive
can somebody twll me where can i get this music is this a mix,positive
goosebumps india indiaaaa,negative
every time when i feel low and sad i come back to this video and every single time after watching this i have a smile of my face with tears in my eyes india have won other trophies too but nothing compares to this i will never ever forget this final it was the greatest day of my life the most beautiful and amazing feeling i experienced as a human being,positive
indiaaaaaaaaaa,negative
what a bass at the time on suryas catch give goosebumps,positive
surya ne south africa me suryast kr diya,positive
omg only guess bumps,negative
fix match,negative
passion to win book history ki sabse badi kitab hongi,negative
come on india,positive
watch everyday,positive
still getting goosebumps its never get old wowww moment,positive
still remember how rs said that rishabh pant stopped match for few minutes telling his leg got injured inorder to break form of the batsmen and which may have work cause much needed wicket was taken after that,positive
my comfort video,positive
i only belive on one bhai jassi bhai hardikkk hardikkkk,negative
where can i get this music is this a mix searching for this music,positive
that brake from rishabh pant,negative
turning point is the klaasen s wicket,positive
long off long offlong off surya,negative
david miller,positive
heyypp,positive
i only believe on jassi bhai because he is the game changer bowler mohammad siraj,positive
its december already still getting tears of happiness,positive
put virat knock also,positive
its hard its hardik,negative
its not bumrah not hardik not surya its the team its the mindset still on goosebumps,positive
goosebumps on surya catch,positive
who is waiting for surya bhau catch like thoko,positive
surya dada ka catch kamaal tha,negative
leaves my heart with the same emotion each time i watch this love it,positive
subscribe for this masterpiece edit,positive
my country may have many problems but its still the greatest country on the planet i will always love you my dear country,positive
kuldeep and ravindra jadeja are assholes who never perform in crunch matches they dont deserve to play at the highest level,negative
unbeaten champions india,positive
we dont just watch that moment we leave that moment,positive
i love how cricket instead of becoming a stigma of colonization turned out to be one of the deepest emotion in indian society its a part of culture now,positive
the commentry,negative
i love sa decock and miller,positive
video which brings smile in every situation,positive
klassen most dangerous bataman,negative
every time i see this i become teary,negative
rishab mater mind,positive
why why quinton gets out twice,negative
feel for hardik pandya he was booed from the crowd during ipl and then this happened it is simply incredible emotions,negative
the commentator gone insane while seeing surya taking the blinder catch,negative
jaspreet bumrah is a god gift for india,positive
icc dogla hai jyada foriegn matcho ke highlight hai india ka bahut kam hain,positive
rishabh pant the mastermind behind klaasens wicket,positive
captain rohit you deserve it,positive
its just not a video now its a magnum pous cinema,positive
both india and south africa won and loss india won the final but loss the fumbler choker title and south africa vice versa,negative
want the full highlights on icc channel,positive
india is on and draught is over they are here to rule,positive
k maharaj take wicket of vadapav,positive
love you india kohli dhoni rohit,positive
this is every indian emotion,negative
pakistani fuckers cant enter into this video,negative
jaha matter bade hote hai pakistan ke papa wahi kade hote hai,negative
when pakistans radical allah didnt even stopped india to win the world cup lol,negative
i cried becoz im not a maneauins,negative
outstanding batting my boss,positive
aansu aa gye bhai dekh ke,negative
hardik pandya sir tq so much,positive
you ask me whats therapy ill say watching this video at least once everyday,positive
who are all after yesterdays lose,negative
i love south africa team they r so humble and match winning teambut indian team is my life hum unhe harta hua kabhi ni dekh skte jai hind,positive
we believe in jassi bhai,positive
comeback is greater than setback,positive
hitman king kohli jaddu,positive
surya kumar yadavs catch was so spectacular one absolute beauty,positive
everytime im watching this got tears in my eyesno better feelings like this,positive
world cups have always been brutal with south africa even though they are the strongest teams out there and have high chances of winning but luck has been the opposite side for them all the best south africa come back stronger,negative
that was six,positive
in hrithiks voice sab kuch likha hua hai,negative
bcci donations to icc paying off lol,positive
axars all round performance virats crucial knock hardiks brilliant bowling suryas world cup winning catch amp on top of that ian smiths commentary,positive
klassen was going to challenge gods plan,negative
as a pakistan fan i have to say congratulations india,positive
super editing,positive
south africa deserved the win more then india,positive
long off long off long offsuryakumar yadav,negative
kon kon ye video november me dekh raha hai,positive
superb editing,positive
thankyou icc for this,positive
its an emotion,negative
its like marvel movie trailer but amazing,positive
risabh pant strategy,positive
yes the break has done,positive
climax is really emotional,positive
the comprehensive victory against south africa good job team india lots of love from sri lanka,positive
im only believe on jassi bhai becoz game changer player he is only guy is jasprit bumraahhh,positive
the catch of sky was not a catch but trophy,positive
i still feel nervous watching this,negative
suryakumar yadav is my winner he took killer miller,positive
its amazing matchi proud to be an indian,positive
do you believe in miracles yes,positive
klassen and decock superb in this innings,positive
what jaspreet bumrah what a bowling that,positive
editor surely needs a raise,negative
miller wicket game changing,positive
happy birthday virat,positive
moment hai bhai goosebumps,positive
klassen and arshdeep are still underrated,negative
cricket is peaked here,positive
india is a cheater boundary was misplaced by bhikharindia,negative
m prahlad,positive
really goosebumps are loaded from bottom of every indians heart lv uhh team india,positive
klassen against gods plan mr icc,negative
what a beautiful emotional,positive
where is the batting of india,positive
rohit is best,positive
this is what you play for,positive
is it trailer wow,positive
i am getting goosebumps,positive
i m crying,negative
as an indian we were very happy but at the same time as a cricket lover we were all feeling bad for south africa,neutral
hardik and suriya all teams are hero,positive
i was extremely happy when india won but same time feeling sad for sa,positive
jitni bar dekhu dil garden garden ho jata hai,positive
eyes got wet,negative
english commentary,positive
virat kohli is the best player in the world,positive
congrats team india you did it,positive
iam only believe on jassi bhai because game changer player he is only one guy is a jaspreet bumrah,positive
bring back rahul dravid as the coach,positive
india gtgtgt australia,positive
here to put kaala tika once again,positive
south africa real chockers of cricket,positive
congratulations all pakistani because your papa win world cup,positive
ye dekh ke khush ho jata hoon,negative
bangladesh and pakistan eating their own shit after watching this,negative
seriously mr editor you definitely deserve an oscar man,positive
ye match dhekar,positive
who are watching this video after newzealand crushing india in test series,negative
tears and goosebumpsagain,negative
klassenthe unbeaten hero,positive
best edit till date in sporting history,positive
no matter how many times you see this you will get tears in your eyes,positive
its like am watching a movie,positive
what is the name of the back ground music,positive
raw emotion from field,negative
this is called nailbiting match,negative
literally goosebumps,negative
love the way similar demon slayer theme put to use,positive
where can we watch full highlights of this match,positive
this is what happens when everyone in the team contributes in all over tournamentbefore this wc i thought they will not gonna win but iam extremely happy that iam wrong,positive
congratulations pakistan wale king babar wale,positive
i feel happy for india but south africas sadness hit hard,positive
sky won it for bharat,positive
didi india is father of pakistan,positive
south africa also played like a warrior we are proud of south africa too,positive
still that goosebumps comes in what an impact india,positive
the best video,positive
its hard to believe that still our indians are not appreciating hardik pandya they are still busy with that catch nd forgot what klassen was doing on that day i believe that hardik pandya turned that final on team indian side with klassens wicket alongwith millers wicket,positive
on that final matchday sa came with the good plan but team india came with the gods plan,positive
miller,positive
so meaningless editing they have shown wicket of decock at first place and after that quotwhat a shotquot by decock i was confused wtf is going on,negative
quotde cock has fallen quot commentary at its best,negative
unsung hero hardik pandya,positive
hardik pandya thank you for taking the wicket of that beast,positive
most dangerous team in india,negative
india cheater hai favour se jeet ta hai atleast pakistan har ta magar india ki tara bacho ki tara cheating karta ye ulta bol raha ho sida lafs hota ha india pakistan ka bapp,negative
axar patel unseen hero,positive
this still brings tears what an edit by icc,negative
i love indian all team i am proud to be indian,positive
i come here every now and then to take myself back to the day of the final and relive the epic moment,positive
incredible glimpse,positive
i have felt that i just watched a short film what an editing icc has done,positive
long off long off long off,negative
editor salary day by day,positive
today rsa women lost world cup final i really sad to see the south africa born with bad luck i hope fans are appreciating their,negative
this video is still giving tears in eyes,positive
the main weapon is hardik p,negative
the way icc has presented this whole match is giving pure goosebumps thank you icc from,positive
lockdown kid gg aur msd krte rahte hein par jo ye match live dekha tha unko pata hoga ky value he dono ke innings ka wo dono me se koi ek b perform nai kiya hota to india har jata wo match,negative
jitna dekhu utna kam hai,negative
pure cinematic,positive
classic,positive
cricket is a religion in india which unites the whole country,positive
the best video i have ever seen,positive
champion team,positive
this was not quot just a world cup quot,positive
man you monster klassen still gives me nightmare,negative
when they won i drove to mundian to bach ke for a few days well india,positive
this video with nee singham dhan song is just mind blowing,positive
i cant remember how many times id watch this final still cant get over it,negative
suryas catch literally saved a millions of indians from depression,positive
i would like to see the sky catch again and again for the rest of my lifeif i clear civil services this year i will tell them that catch was the motivation for me to work hardnever quit,positive
ab next trophy kab ayegi zyada wait to nhi krna pdega bhiyo,positive
what is the gift for altaf,positive
its in air its india,positive
congratulations pakistan your father won the world cup,positive
aasu nikal gaye firse aaj dheke,negative
literally cry,negative
klassen literally gave me nightmares thanks arsh and hardik,negative
i never forget this match,positive
this is the real goosebumps,positive
we are proud of our our bcci cricket team,positive
moore laura martinez linda moore charles,positive
only south africa could lose from such a stage so close to victory,negative
kaha se mile ga ye full match,positive
again and again the moment giving happiness while watching it even after few months,positive
jordon walks,positive
my nation my country,positive
bhai ye video nhi goosebumps ka pitara hai bee gajab cheej hai bee motivation to peak pe chala jata hai,positive
when pandya picked up the ball,positive
one of the greatest final in the history of icc tournaments,positive
this vedio felt like a movie the clip where david miller turns back with saddest emotions on that staircase to the dressing room was the saddest part,negative
when i am feeling down i see this match,negative
yeahhh,positive
goose bumps every moment,positive
klassen was just one step behind to become head for us,positive
nia road,negative
everything i see this i cry,negative
absolute cinema with all the goosebumps and the best possible endingind,positive
mera bharat sab se mahaan,negative
giving goosebumps every moment,positive
world test champions next year final i think india vs australia or india vs srilanka,positive
iska highlight bhi dalo,positive
ravi shastri is just amazing,positive
i literally cry whenever i watch this video pure emotions hats off to surya pandya arshdip bumrah and whole team,positive
the end game we all have waited for,positive
match became very interesting when klassen starting showing his class in axar patels over,positive
agr ye match hum haar jate to virat ki log dhajjiyaan uda k rakh dete sab ye kehte virat ne bahut slow khela par shukra h hum jeet gae,negative
hardik is best,positive
countless time i watch this match it put me in tears,negative
the good part of this final was sa played bravely and made it nail biting many a times final becomes one sided and no fun watching it,positive
pure indian emotional cinema,positive
bhai sub surya surya kar rhe ho world cup hardik ne jitaya he but uska to naam hi nahi he comment me,negative
orn ports,positive
ian smith is peter drury in cricket,positive
larissa freeway,positive
this video has the most expensive thumbnail of icc youtube channel,positive
a year down the lane still you get the goosebumps,positive
goosebumps all the way love from nepal,positive
whebever india facinf loss or necktokeck game in league stage they are lifiting the cup,negative
jackson eric jones lisa jackson edward,positive
suuuuuuuuuuuuuuuuper goosebumps,positive
goyette harbor,positive
all time blockbuster surya catch,positive
labadie glen,positive
suryas catch was goosebumps moment,positive
respect for icc editors,positive
ye catch nahi ye match nahi ye trophy hai,positive
aj ye v ye dekhta hu toh khushi se ro deta hu,negative
jettie alley,positive
thankyou for this,positive
you will never watch such a thrilling match as this one the best match i have ever seen in my life,positive
king kohli india,positive
i can watch it infinite times love you team india,positive
bas kar kitni baar dekhega,negative
bc highlights dekhte waqt bhi darr lagra kahi ye danav klassen south africa ko jeeta na de,positive
everyy time watching still goosebumps,positive
goosebump match,positive
was feeling a bit low and short of emotions on a saturday evening came back and watched this video now there are too many emotions,negative
rtgg,positive
what a match and what a editing great editing,positive
flatley highway,neutral
many months passed but still tears finds a way,positive
straight up goosebumpsbharat mata ki jay,positive
ind ka world champions,positive
imagine if we done the same in icc odi world cup in our home,positive
cricket emotions,positive
patricia overpass,positive
i dont know why i am getting goosebumps,negative
how many time you will watch this me,positive
rohit sharm captaincy made this happen with bowlers and all rounders like bumrahaxarhardikrishabhsurya kumarviratarshdeep etc,positive
final ke upar ek movie banani chahiye,negative
bernita locks,negative
stiedemann rapids,positive
mosciski forge,positive
long of long of,negative
vernice river,positive
the hug by klassen to miller at the end says it all,positive
dicki road,negative
won only because of south africa choking,negative
not using long off long off long off is just sad,negative
yeah logo ke naseeb achi thi ke australia nahe thi saamnethanks to south africa,positive
tears amp happy,positive
editor,positive
ahh goosebumps but south africa you played like champions klassen you were the man between us and the win hats off to you man south africa you deserve our love and respect wish you guys win a world cup us indians who are true fanatic of cricket will be the most happy,positive
one amp only quotbhumrahquot legend,positive
green roads,positive
aus be like hum world cup jeete tab to icc ne video daali nhi hmari,positive
the moment i never forget in my whole life,positive
tiana mills,positive
goosebumps and tears still,negative
i will watch this match all my life,positive
bumrah is him,positive
still gives a goosebumps feeling while watching yaar,positive
well played south africa,positive
pant mastermind that break,negative
goosebumps editing is,negative
a complete movie,positive
this is the moment where hardik pandya proved himself and cry from his heart,positive
who here after gopi video,positive
i dont know how many times i watched this video but still its make me happy,positive
i was crying while watching it believe this was the moment when we men cried to thank you indian cricket team for this moment,positive
your grand father champion trophy muhammad amir,positive
reilly ferry,positive
huge respect to klasan and hardik pandya,positive
ready for winning champions trophy,positive
thanks for bringing home the cup the drought is over,positive
goosebumps when surya takes catch,positive
waheguru ji bless our india,positive
bhai koi hardik bhai ki tarif kyu nahi kartausne bhi apna best final over dala yaar according to the pressure,negative
congratulations pakistan because youre grandfather won the world cup,positive
ben stokes,positive
huge respect for classes from india thank god he got out,positive
the cinematic masterpiece,positive
pandyaviratskybumrah and rohit and whole squad,positive
best match ever,positive
still getting goosebumps watching this,positive
very emotional,negative
zieme lock,negative
kya bat hai icc,positive
the caption rohit sharma,positive
shane way,positive
romteee khadhe ho gya bhaii aaj bhi,positive
congratulations australia your son win the final,positive
every time when i watch this it gives me goosbooms india india,positive
if it wasnt for virat kohli india would have lost by a huge number,positive
ya jon ladki hai isko yai nahi pata bangladesh pakistan harahi hai india father ek saire are jurm kyon kar rahe ho kya ham tumhare kaddi hai virat kholi tumhare daddy hai aata to la nahin sakte aur hamen compare kar rahe ho,negative
brock shoals,positive
why does this feel like an absolutely great movie india send this to the oscars instead of laapata ladies,positive
rula diya bc firse,negative
bthe best match in the history of cricketb idgaf about others opinions because this is the reality,positive
arshdeep came clutch hero,positive
still my eyes got wet thanks so much for bringing joy and happiness to our life thanks team india,positive
word impossible is relevant till bumrah arrives,negative
bumrah and arshdeep got nerves of steel,negative
lost count of number of times ive rewatched this,negative
this is the great moment in my life,positive
what is the scale for the graph,positive
i am see this wc for many time i am always cry,negative
keleseen kholi hardik best moments in this,positive
catherine view,positive
bc rona nhi hai,negative
roob parkways,positive
love u india love u so much,positive
clasen was big wicket of match,negative
gusbum,negative
epic rohit captaincy,positive
years after wed meet here again thats what it means to us,positive
prolly never moving on from this,negative
i have watched this match many times but still i feel the same goosebumps what a iconic match it feels like a dream has come true moment,positive
somewhere hundreds of tv sets were broken even though they couldnt have afford a new one with claims of iccbcci and immense bouts of jealousy,negative
i still remember my trip to mussoorie with my friends we watched a nailbiting match that had me stressed the whole time but in the end the victory transformed all that stress into sheer happiness we celebrated together on mall road and the vibe was incredible cricket is truly an emotion for us and ill never forget that day,positive
god level editing,positive
india is the goat tera baap ha pakistan,negative
if miller the killer is not out,negative
vada views,positive
waelchi stravenue,negative
goosebumps alert,negative
rohit sharma is father of cricket,positive
i hate hk and tr st,negative
india is too good a team since so many years in icc trophy cant keep them out without icc trophy this supposed to happen before some year but better late than never,positive
one of the greatest final i had ever seen,positive
zoila burgs,positive
we live for these moments,positive
we cried we celebrated and that catch which caught our heart was the most magnificent thing that had ever happened to india just imagining gives goosebumps that one hour which we spent standing just to take the burden upon ourselves was paid off by our indian cricketrs,positive
man of the match is hardik pandey,positive
hardik pandya is the same guy who has been brutally booed by indian fans during iplabsolute clutch playerrespect,negative
lenny dam,negative
rajput,positive
ruh kap jata h dubra dekhne se,negative
shania burg,positive
adeline ways,positive
monahan orchard,positive
maybell ferry,positive
emotional scene,neutral
bryana stream,positive
waelchi lodge,positive
indian players acted really amazing in ipl noone showed their true form all their skills power and form they kept under wraps and ipl finished from rohit to siraj kuldeep all starting xi they perofmed at the peak of their carrer for india till final,positive
hardik real hero,positive
what is goose bump watch this video the day which never forgotten,positive
feeling bad for south africa specially for decock and claseen but india win its the crazy moment,negative
please uplod the final,positive
even when we lose its not so bad we laugh about it and plan our next strategy,positive
block locks,negative
bumrah ki dot bowling aur hardin ka wicket lena india ko match jitayaa,positive
we are so lucky being witness of last three wc finals,positive
no words for editing just,negative
schumm crossroad,negative
anjali valley,positive
bapu ka baldla,negative
brown tunnel,negative
congratulations pakistan your father win th world cup,positive
this is actually what the meaning of quotwc final match quotis,positive
every minute are goosebumps,negative
its not surya its not kholi its not hardik its not bumrah itzzz pant the break game changer luv you india,positive
trailer of winning movie,positive
memories for life,positive
virat kohli quotthe saviorquot,positive
never forget these moments in our lives well done india,positive
jcggc,positive
it still feels like a dream,positive
still get tears in eyes when you see this,positive
absolutely cinematic everytime i witness this i get goosebumps,positive
can someone tell me why rishabh pants moment is important,positive
anyone after dipression,negative
waited for this movement in my whole teen ages,positive
best moment of my life,positive
it a cry moment,negative
example of quotbowlers win you tournamentquot,positive
virathardik and boom is hero of this dream finale,positive
never give up,positive
men came back men watched the video men remembered the moment men shed some drops of tears of joy,positive
how many times will you watch it,positive
i am proud to be indian,positive
still cant believe how india managed to stop klaasen on song,positive
moment of the decade,positive
jazmin extensions,positive
thank god abb dhoni ko abb yaad nhi karna padega,positive
pakistan walo baap bolo india ko,negative
these are the moments i live foroh man that was pure wholesome,positive
sa the greatest chokers of all time,negative
and that voice of harsha bhogle sirfor generations,negative
very good editing,positive
i am still cryingafter watching this movement,positive
what a final,positive
conroy dam,positive
remember the name henric klassen and killer miller,negative
feest center,positive
why i am crying,negative
icc also knows the importance of risabh pants injury before the that hardik over,negative
weimann forge,positive
surya bhau mere sare jameen jaedad tere naam,positive
long off long off,negative
this editing is way way better than indian serials lol,positive
filiberto underpass,positive
abbba jit gye,positive
whenever i feel low i come to see this goosebumps,negative
jones larry johnson richard wilson carol,positive
jakubowski stravenue,negative
stehr orchard,positive
an absolute cinema,positive
herminia vista,positive
i join the history part on my comment,positive
long off long off long off suryakumar suryakumar yaduav nepadkha ha ligeka sb se age tum bolo,negative
baap jitt gya ab bete ki bari champions trophy go pakistan,positive
this is amazing and at the same time its beautiful and emotional thanks icc for this video,positive
hailey land,positive
this is indeed quotan epic montagequot,positive
medhurst heights,positive
coz of bcci richer then icc thats way to be honest i also indian but this world cup south africa deserve to win cheat keya icc ne,negative
cheat keya,negative
moment history,positive
aj bhi dekh k goosebumps aarhe h,positive
still can experience the goosebumps such a cliffhanger it was,negative
its not highlight its a movie,negative
that break from rohit was crucial that was where klassen lost his momentum whenever things dont go by ur way take a break,positive
mahendra singh dhoni captaincy,positive
pouros valleys,positive
icc just deleat this one,negative
ivory locks,negative
for me this win was bitter sweet i was happy that india won the match but i felt bad for south africa,negative
golden commentery from jatin ek aakhri mauka hardik pandyalong offlong offlong offffffff surya kumar yadav surya kumar yadav ne pakda hai apne career ka sabse important catch ek low full toss david miller ka wicket hardik pandya jarur umpire check krna chahenge lekin aakho ke theek neeche ye mamla saaf dikha ye umeeden barkaraar dikhi ye final giraft me dikha,positive
you f that supports india always,positive
gay creek,positive
aaj bhi ye moment dekh kr aakho me aasu aajata h,negative
remember once a legend said quot that one percent chance is enoughquot aur yaha to ek percent se jyada ka chance thakaise kuch nhi hota,positive
but indian break this team,negative
virat kohli s classy innings and skys catch of the millennium,positive
i have watched this hundred of times but it still gives goosebumps,positive
virat kohli ne pehle over mein hi match jeeta diya tha,negative
powlowski loaf,negative
i am still stuck here,negative
perfect catch by surya dada,positive
rula diya yrr,negative
this moment is all that have been dreaming of somewhere i feel it in my soul in my soul one chance is everything we waited for its our time so let me take it home and knock out of this world,positive
ratke rapid,positive
no matter how many time we watch it was just,negative
are we just wanna keep watching this over and over and not acknowledge how good ian smiths commentary is,positive
absdolute cinema,negative
sky and ian smith will be remembered for centuries to come this catch would be incomplete without that sweet commentary,positive
i am not crying theres something in my eye,negative
goosebumps guarantee everytime my sister in law was battling with cancer she was in icu saw this on a cell phone in the waiting room tears trickled down my eyes when surya took that catch four days later she succumbed to cancer such a bitter sweet memory,negative
congratulations pakistan aapke abbu jeet gye,positive
whenever i watch this i always have tears in my eyes love thanks ict for giving us another decade of memories,positive
damore pike,negative
king stood tall once again,positive
pakistan be likequotabbu wc jeet gye,negative
conroy pike,positive
what a a match in icc cricket history this is the incredible match this is the magic of india indiaindia,positive
memorable moment for us,positive
goosebumps and tears,negative
goose bumps,negative
kuphal springs,positive
itne mahine hogye lekin still got so emotional everytime i see this,positive
that daywhat a day,positive
editing on steroids,negative
before icc international cc now icc india cc,positive
yesssssssssssssss,positive
he is not lucky they get the commentators of the winning teams in the final overs remeber the name,negative
thank you icc,positive
this is called strugle someone said right sabar ka faal mitha hota hai,negative
hettinger fort,positive
live dekhne ka ghamand hai,positive
thompson wall,negative
what quality of the video its mind boggling,positive
jailyn squares,positive
i think hanuman kind look like quentin decock,positive
bumrah is too tough mentally man,negative
clara parkways,positive
what a incredible video this is out of the world,positive
great victory for,positive
a champion team,positive
first time in the history that father telling their son dont follow me and dont do what i have done,negative
casper dale,positive
love u india and tanks,positive
kids are happy with lolipopop meanwhile real champions australians own the real worldcup,positive
kariane forge,positive
ulises stream,positive
hillard hill,negative
jordi turnpike,positive
kings kohli,positive
hudson lakes,positive
what a frickin montage bravo icc,positive
zemlak meadows,positive
pakistanis please apply burnol,negative
ian smith on mic,positive
jamir way,positive
what a editing by editors,negative
hazle crest,negative
quotthe squeeze is onquot ian smith,negative
shana common,positive
abbey prairie,positive
we need ravi sastri commentry box in every crusial match of icc,positive
tremendous nail bighting movement for india,positive
historical moments for indian cricket fans,positive
love you hitman and congratulations team,positive
never getting over this,negative
shirley rapid,positive
this is cinema for me,positive
world class video editing world class final world class commentary wonderful background music goosebumps,positive
bumrah was the one who gave us hope confidence,positive
shanahan terrace,positive
greatest edit icc ever made,positive
bhaisahab full goosebumps,positive
rohit throwing the ball to hardik and virat throwing it to boom boom what an edit goosebumps,positive
