Cleaned_Comment,Predicted_Sentiment
this wc was really the most important wc for india,POSITIVE
why no one talk about hardik,NEUTRAL
heart breaking for the two nations having green colour on their jersey,NEGATIVE
this one for israel,NEUTRAL
our bowling,NEUTRAL
and from here we got quoti only believe in jassi bhai game changer player he isquot,NEGATIVE
long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch,POSITIVE
hardik pandya should be the captain,NEUTRAL
love you india from bangladesh,POSITIVE
pakistan cricket is finished,NEUTRAL
this video gives me literal goosebumps proud to be an indian,POSITIVE
clutch god hardik,NEUTRAL
this video like a action movie trailer,POSITIVE
yeh video dekh ta hai toh ajj bhi rona ata hain kya din tha yeh din,NEUTRAL
every second is a goosebump for us,NEUTRAL
everytime i see i get tears in my eyes the tears of joy thanku team india we love you for this amazing experience,POSITIVE
upload full match highlights,POSITIVE
editing deserves a special award,POSITIVE
test or odi match spell shami harshadeepboomra,NEUTRAL
ian smith man o man what a voice he has,NEUTRAL
im crying now also after seeing this vedio,NEGATIVE
i am not crying its just something in the eye,POSITIVE
one of the best cricket world cup final ever played,POSITIVE
busting a nut to this,NEUTRAL
best memories,POSITIVE
lets win that champions trophy now,POSITIVE
superb editing loved it from every corner,POSITIVE
want ghosebums watch this on repeat,NEUTRAL
anyone after bgt,NEUTRAL
maybe im biased but where is malik for the bowlers when you have one of the fastest bowlers in ipl history on your side why not have kohli coach him a bit on some bowls and have him get more wickets seems like a waste but so proud that india won much deserved,POSITIVE
how many times have you watched this me yes,POSITIVE
bgt harne ka dukh tha phir yeh video dekh liyasokoon,NEUTRAL
after bgt loss,NEUTRAL
is match ka hero axar patel tha,NEUTRAL
indian cricket team great memories,POSITIVE
watch this video thousands of times still it feels satisfying,POSITIVE
my eyes are filled with water i dont know why its un stopbale this is nation pride,POSITIVE
india your father,NEUTRAL
again this was not possible without bumrah,NEUTRAL
i believe on jassi bhai,NEUTRAL
goose bumps moment,NEUTRAL
hare krishna,NEUTRAL
background bgm always increasing the goosebumps,NEUTRAL
please next match come here to,NEUTRAL
who win who win who win,POSITIVE
pak be like proud of my father,POSITIVE
i had a goosebumps when klassen and miller were hitting but when hardik take the wicket my goosebumps were over and then surya take the best catch and we won,POSITIVE
congratulations bangladesh your grandfather win the world cup,POSITIVE
the same day when whole cricket world was cried with happyly and all viratian cried,POSITIVE
this is epic,POSITIVE
man nominate this edit for an oscar this is cricket passion sweat tears pain and ultimately victory congratulations to the indian national team what a hard earned victory some of the best players in the world fighting to show their strength and integrity,POSITIVE
wo sb to theek h per south africa hi kyu ese moment per fasti h rcb bn gyi h international ki,NEUTRAL
goosebumps on its peak,NEUTRAL
the day we indians smiled and cried,POSITIVE
underrated arshdeep,NEUTRAL
icc needs to produce more of this kinds of highlights,POSITIVE
today is my birthday but zero like and subscribe,NEUTRAL
same feeling,NEUTRAL
repid bole to bolti band khamosh silent motivation,NEUTRAL
literally goosebumps while wearing earphones,NEUTRAL
david miller was like the final boss,NEUTRAL
still and will always,NEUTRAL
i only believe in jassi bhai game changer player he is the only one,NEGATIVE
klassen was smashing i was,NEUTRAL
bumrah and aeshdeep,NEUTRAL
this win is for pakistan also and bangladesh also because pakistan is our son and bangladesh is our granddaughter,POSITIVE
miller gets it and then,NEUTRAL
hardik pandya the real hero of that match,POSITIVE
arshdeep the unsung hero,NEUTRAL
its coming tears in my eyes,NEUTRAL
congratulations team india proud of you,POSITIVE
emotion,NEUTRAL
pakistan ye kon jita hai virat dhyan se dekh tere papa jite hai,NEUTRAL
this montage gave me chills,NEUTRAL
today anyone,NEUTRAL
can somebody twll me where can i get this music is this a mix,NEUTRAL
goosebumps india indiaaaa,NEUTRAL
every time when i feel low and sad i come back to this video and every single time after watching this i have a smile of my face with tears in my eyes india have won other trophies too but nothing compares to this i will never ever forget this final it was the greatest day of my life the most beautiful and amazing feeling i experienced as a human being,POSITIVE
indiaaaaaaaaaa,NEUTRAL
what a bass at the time on suryas catch give goosebumps,NEGATIVE
surya ne south africa me suryast kr diya,NEUTRAL
omg only guess bumps,NEUTRAL
fix match,NEUTRAL
passion to win book history ki sabse badi kitab hongi,POSITIVE
come on india,NEUTRAL
watch everyday,NEGATIVE
still getting goosebumps its never get old wowww moment,POSITIVE
still remember how rs said that rishabh pant stopped match for few minutes telling his leg got injured inorder to break form of the batsmen and which may have work cause much needed wicket was taken after that,NEUTRAL
my comfort video,NEUTRAL
i only belive on one bhai jassi bhai hardikkk hardikkkk,NEUTRAL
where can i get this music is this a mix searching for this music,NEUTRAL
that brake from rishabh pant,NEUTRAL
turning point is the klaasen s wicket,NEUTRAL
long off long offlong off surya,NEGATIVE
david miller,NEUTRAL
heyypp,NEUTRAL
i only believe on jassi bhai because he is the game changer bowler mohammad siraj,NEGATIVE
its december already still getting tears of happiness,POSITIVE
put virat knock also,NEUTRAL
its hard its hardik,NEGATIVE
its not bumrah not hardik not surya its the team its the mindset still on goosebumps,NEUTRAL
goosebumps on surya catch,NEUTRAL
who is waiting for surya bhau catch like thoko,NEUTRAL
surya dada ka catch kamaal tha,NEUTRAL
leaves my heart with the same emotion each time i watch this love it,POSITIVE
subscribe for this masterpiece edit,NEUTRAL
my country may have many problems but its still the greatest country on the planet i will always love you my dear country,POSITIVE
kuldeep and ravindra jadeja are assholes who never perform in crunch matches they dont deserve to play at the highest level,NEUTRAL
unbeaten champions india,NEUTRAL
we dont just watch that moment we leave that moment,NEUTRAL
i love how cricket instead of becoming a stigma of colonization turned out to be one of the deepest emotion in indian society its a part of culture now,POSITIVE
the commentry,NEUTRAL
i love sa decock and miller,POSITIVE
video which brings smile in every situation,POSITIVE
klassen most dangerous bataman,NEGATIVE
every time i see this i become teary,NEUTRAL
rishab mater mind,NEUTRAL
why why quinton gets out twice,NEUTRAL
feel for hardik pandya he was booed from the crowd during ipl and then this happened it is simply incredible emotions,POSITIVE
the commentator gone insane while seeing surya taking the blinder catch,NEGATIVE
jaspreet bumrah is a god gift for india,NEUTRAL
icc dogla hai jyada foriegn matcho ke highlight hai india ka bahut kam hain,NEUTRAL
rishabh pant the mastermind behind klaasens wicket,NEGATIVE
captain rohit you deserve it,NEUTRAL
its just not a video now its a magnum pous cinema,NEUTRAL
both india and south africa won and loss india won the final but loss the fumbler choker title and south africa vice versa,NEUTRAL
want the full highlights on icc channel,POSITIVE
india is on and draught is over they are here to rule,NEUTRAL
k maharaj take wicket of vadapav,NEUTRAL
love you india kohli dhoni rohit,POSITIVE
this is every indian emotion,NEUTRAL
pakistani fuckers cant enter into this video,NEUTRAL
jaha matter bade hote hai pakistan ke papa wahi kade hote hai,NEUTRAL
when pakistans radical allah didnt even stopped india to win the world cup lol,POSITIVE
i cried becoz im not a maneauins,NEUTRAL
outstanding batting my boss,POSITIVE
aansu aa gye bhai dekh ke,NEUTRAL
hardik pandya sir tq so much,POSITIVE
you ask me whats therapy ill say watching this video at least once everyday,NEGATIVE
who are all after yesterdays lose,NEUTRAL
i love south africa team they r so humble and match winning teambut indian team is my life hum unhe harta hua kabhi ni dekh skte jai hind,POSITIVE
we believe in jassi bhai,NEUTRAL
comeback is greater than setback,POSITIVE
hitman king kohli jaddu,NEUTRAL
surya kumar yadavs catch was so spectacular one absolute beauty,POSITIVE
everytime im watching this got tears in my eyesno better feelings like this,POSITIVE
world cups have always been brutal with south africa even though they are the strongest teams out there and have high chances of winning but luck has been the opposite side for them all the best south africa come back stronger,POSITIVE
that was six,NEUTRAL
in hrithiks voice sab kuch likha hua hai,NEUTRAL
bcci donations to icc paying off lol,POSITIVE
axars all round performance virats crucial knock hardiks brilliant bowling suryas world cup winning catch amp on top of that ian smiths commentary,POSITIVE
klassen was going to challenge gods plan,NEUTRAL
as a pakistan fan i have to say congratulations india,NEUTRAL
super editing,POSITIVE
south africa deserved the win more then india,POSITIVE
long off long off long offsuryakumar yadav,NEGATIVE
kon kon ye video november me dekh raha hai,NEUTRAL
superb editing,POSITIVE
thankyou icc for this,NEUTRAL
its an emotion,NEUTRAL
its like marvel movie trailer but amazing,POSITIVE
risabh pant strategy,NEUTRAL
yes the break has done,NEUTRAL
climax is really emotional,NEUTRAL
the comprehensive victory against south africa good job team india lots of love from sri lanka,POSITIVE
im only believe on jassi bhai becoz game changer player he is only guy is jasprit bumraahhh,NEGATIVE
the catch of sky was not a catch but trophy,NEUTRAL
i still feel nervous watching this,NEUTRAL
suryakumar yadav is my winner he took killer miller,NEUTRAL
its amazing matchi proud to be an indian,POSITIVE
do you believe in miracles yes,NEUTRAL
klassen and decock superb in this innings,POSITIVE
what jaspreet bumrah what a bowling that,NEUTRAL
editor surely needs a raise,POSITIVE
miller wicket game changing,NEGATIVE
happy birthday virat,POSITIVE
moment hai bhai goosebumps,NEUTRAL
klassen and arshdeep are still underrated,NEUTRAL
cricket is peaked here,NEUTRAL
india is a cheater boundary was misplaced by bhikharindia,NEGATIVE
m prahlad,NEUTRAL
really goosebumps are loaded from bottom of every indians heart lv uhh team india,POSITIVE
klassen against gods plan mr icc,NEUTRAL
what a beautiful emotional,POSITIVE
where is the batting of india,NEUTRAL
rohit is best,POSITIVE
this is what you play for,NEUTRAL
is it trailer wow,POSITIVE
i am getting goosebumps,NEUTRAL
i m crying,NEGATIVE
as an indian we were very happy but at the same time as a cricket lover we were all feeling bad for south africa,POSITIVE
hardik and suriya all teams are hero,NEUTRAL
i was extremely happy when india won but same time feeling sad for sa,POSITIVE
jitni bar dekhu dil garden garden ho jata hai,NEUTRAL
eyes got wet,NEGATIVE
english commentary,NEUTRAL
virat kohli is the best player in the world,POSITIVE
congrats team india you did it,NEUTRAL
iam only believe on jassi bhai because game changer player he is only one guy is a jaspreet bumrah,NEGATIVE
bring back rahul dravid as the coach,NEUTRAL
india gtgtgt australia,NEUTRAL
here to put kaala tika once again,NEUTRAL
south africa real chockers of cricket,POSITIVE
congratulations all pakistani because your papa win world cup,POSITIVE
ye dekh ke khush ho jata hoon,NEUTRAL
bangladesh and pakistan eating their own shit after watching this,POSITIVE
seriously mr editor you definitely deserve an oscar man,NEGATIVE
ye match dhekar,NEUTRAL
who are watching this video after newzealand crushing india in test series,POSITIVE
tears and goosebumpsagain,NEUTRAL
klassenthe unbeaten hero,NEUTRAL
best edit till date in sporting history,POSITIVE
no matter how many times you see this you will get tears in your eyes,POSITIVE
its like am watching a movie,NEUTRAL
what is the name of the back ground music,NEUTRAL
raw emotion from field,NEGATIVE
this is called nailbiting match,NEUTRAL
literally goosebumps,NEUTRAL
love the way similar demon slayer theme put to use,POSITIVE
where can we watch full highlights of this match,POSITIVE
this is what happens when everyone in the team contributes in all over tournamentbefore this wc i thought they will not gonna win but iam extremely happy that iam wrong,POSITIVE
congratulations pakistan wale king babar wale,NEUTRAL
i feel happy for india but south africas sadness hit hard,POSITIVE
sky won it for bharat,NEUTRAL
didi india is father of pakistan,NEUTRAL
south africa also played like a warrior we are proud of south africa too,POSITIVE
still that goosebumps comes in what an impact india,NEUTRAL
the best video,POSITIVE
its hard to believe that still our indians are not appreciating hardik pandya they are still busy with that catch nd forgot what klassen was doing on that day i believe that hardik pandya turned that final on team indian side with klassens wicket alongwith millers wicket,NEGATIVE
on that final matchday sa came with the good plan but team india came with the gods plan,POSITIVE
miller,NEUTRAL
so meaningless editing they have shown wicket of decock at first place and after that quotwhat a shotquot by decock i was confused wtf is going on,NEGATIVE
quotde cock has fallen quot commentary at its best,POSITIVE
unsung hero hardik pandya,NEUTRAL
hardik pandya thank you for taking the wicket of that beast,NEUTRAL
most dangerous team in india,NEGATIVE
india cheater hai favour se jeet ta hai atleast pakistan har ta magar india ki tara bacho ki tara cheating karta ye ulta bol raha ho sida lafs hota ha india pakistan ka bapp,NEUTRAL
axar patel unseen hero,NEUTRAL
this still brings tears what an edit by icc,NEUTRAL
i love indian all team i am proud to be indian,POSITIVE
i come here every now and then to take myself back to the day of the final and relive the epic moment,POSITIVE
incredible glimpse,POSITIVE
i have felt that i just watched a short film what an editing icc has done,NEUTRAL
long off long off long off,NEGATIVE
editor salary day by day,NEUTRAL
today rsa women lost world cup final i really sad to see the south africa born with bad luck i hope fans are appreciating their,NEGATIVE
this video is still giving tears in eyes,NEUTRAL
the main weapon is hardik p,POSITIVE
the way icc has presented this whole match is giving pure goosebumps thank you icc from,POSITIVE
lockdown kid gg aur msd krte rahte hein par jo ye match live dekha tha unko pata hoga ky value he dono ke innings ka wo dono me se koi ek b perform nai kiya hota to india har jata wo match,POSITIVE
jitna dekhu utna kam hai,NEUTRAL
pure cinematic,POSITIVE
classic,POSITIVE
cricket is a religion in india which unites the whole country,POSITIVE
the best video i have ever seen,POSITIVE
champion team,NEUTRAL
this was not quot just a world cup quot,NEUTRAL
man you monster klassen still gives me nightmare,NEUTRAL
when they won i drove to mundian to bach ke for a few days well india,NEGATIVE
this video with nee singham dhan song is just mind blowing,NEUTRAL
i cant remember how many times id watch this final still cant get over it,POSITIVE
suryas catch literally saved a millions of indians from depression,NEUTRAL
i would like to see the sky catch again and again for the rest of my lifeif i clear civil services this year i will tell them that catch was the motivation for me to work hardnever quit,POSITIVE
ab next trophy kab ayegi zyada wait to nhi krna pdega bhiyo,NEUTRAL
what is the gift for altaf,NEUTRAL
its in air its india,NEUTRAL
congratulations pakistan your father won the world cup,NEUTRAL
aasu nikal gaye firse aaj dheke,NEUTRAL
literally cry,NEUTRAL
klassen literally gave me nightmares thanks arsh and hardik,POSITIVE
i never forget this match,NEUTRAL
this is the real goosebumps,POSITIVE
we are proud of our our bcci cricket team,POSITIVE
moore laura martinez linda moore charles,NEUTRAL
only south africa could lose from such a stage so close to victory,NEUTRAL
kaha se mile ga ye full match,POSITIVE
again and again the moment giving happiness while watching it even after few months,POSITIVE
jordon walks,NEUTRAL
my nation my country,NEUTRAL
bhai ye video nhi goosebumps ka pitara hai bee gajab cheej hai bee motivation to peak pe chala jata hai,NEUTRAL
when pandya picked up the ball,NEUTRAL
one of the greatest final in the history of icc tournaments,POSITIVE
this vedio felt like a movie the clip where david miller turns back with saddest emotions on that staircase to the dressing room was the saddest part,NEUTRAL
when i am feeling down i see this match,NEGATIVE
yeahhh,NEUTRAL
goose bumps every moment,NEUTRAL
klassen was just one step behind to become head for us,NEGATIVE
nia road,NEUTRAL
everything i see this i cry,NEUTRAL
absolute cinema with all the goosebumps and the best possible endingind,POSITIVE
mera bharat sab se mahaan,NEUTRAL
giving goosebumps every moment,NEUTRAL
world test champions next year final i think india vs australia or india vs srilanka,NEUTRAL
iska highlight bhi dalo,NEUTRAL
ravi shastri is just amazing,POSITIVE
i literally cry whenever i watch this video pure emotions hats off to surya pandya arshdip bumrah and whole team,POSITIVE
the end game we all have waited for,NEGATIVE
match became very interesting when klassen starting showing his class in axar patels over,POSITIVE
agr ye match hum haar jate to virat ki log dhajjiyaan uda k rakh dete sab ye kehte virat ne bahut slow khela par shukra h hum jeet gae,NEGATIVE
hardik is best,POSITIVE
countless time i watch this match it put me in tears,NEUTRAL
the good part of this final was sa played bravely and made it nail biting many a times final becomes one sided and no fun watching it,POSITIVE
pure indian emotional cinema,POSITIVE
bhai sub surya surya kar rhe ho world cup hardik ne jitaya he but uska to naam hi nahi he comment me,NEUTRAL
orn ports,NEUTRAL
ian smith is peter drury in cricket,NEUTRAL
larissa freeway,NEUTRAL
this video has the most expensive thumbnail of icc youtube channel,NEUTRAL
a year down the lane still you get the goosebumps,NEGATIVE
goosebumps all the way love from nepal,POSITIVE
whebever india facinf loss or necktokeck game in league stage they are lifiting the cup,NEGATIVE
jackson eric jones lisa jackson edward,NEUTRAL
suuuuuuuuuuuuuuuuper goosebumps,NEUTRAL
goyette harbor,NEUTRAL
all time blockbuster surya catch,NEUTRAL
labadie glen,NEUTRAL
suryas catch was goosebumps moment,NEUTRAL
respect for icc editors,NEUTRAL
ye catch nahi ye match nahi ye trophy hai,NEUTRAL
aj ye v ye dekhta hu toh khushi se ro deta hu,NEUTRAL
jettie alley,NEUTRAL
thankyou for this,NEUTRAL
you will never watch such a thrilling match as this one the best match i have ever seen in my life,POSITIVE
king kohli india,NEUTRAL
i can watch it infinite times love you team india,POSITIVE
bas kar kitni baar dekhega,NEUTRAL
bc highlights dekhte waqt bhi darr lagra kahi ye danav klassen south africa ko jeeta na de,NEUTRAL
everyy time watching still goosebumps,NEUTRAL
goosebump match,NEUTRAL
was feeling a bit low and short of emotions on a saturday evening came back and watched this video now there are too many emotions,POSITIVE
rtgg,NEUTRAL
what a match and what a editing great editing,POSITIVE
flatley highway,NEUTRAL
many months passed but still tears finds a way,POSITIVE
straight up goosebumpsbharat mata ki jay,POSITIVE
ind ka world champions,NEUTRAL
imagine if we done the same in icc odi world cup in our home,NEUTRAL
cricket emotions,NEUTRAL
patricia overpass,NEUTRAL
i dont know why i am getting goosebumps,NEUTRAL
how many time you will watch this me,POSITIVE
rohit sharm captaincy made this happen with bowlers and all rounders like bumrahaxarhardikrishabhsurya kumarviratarshdeep etc,NEUTRAL
final ke upar ek movie banani chahiye,NEUTRAL
bernita locks,NEUTRAL
stiedemann rapids,NEUTRAL
mosciski forge,NEUTRAL
long of long of,NEGATIVE
vernice river,NEUTRAL
the hug by klassen to miller at the end says it all,NEUTRAL
dicki road,NEUTRAL
won only because of south africa choking,NEUTRAL
not using long off long off long off is just sad,NEGATIVE
yeah logo ke naseeb achi thi ke australia nahe thi saamnethanks to south africa,NEUTRAL
tears amp happy,POSITIVE
editor,NEUTRAL
ahh goosebumps but south africa you played like champions klassen you were the man between us and the win hats off to you man south africa you deserve our love and respect wish you guys win a world cup us indians who are true fanatic of cricket will be the most happy,POSITIVE
one amp only quotbhumrahquot legend,NEUTRAL
green roads,NEGATIVE
aus be like hum world cup jeete tab to icc ne video daali nhi hmari,NEUTRAL
the moment i never forget in my whole life,POSITIVE
tiana mills,NEUTRAL
goosebumps and tears still,NEUTRAL
i will watch this match all my life,NEUTRAL
bumrah is him,NEUTRAL
still gives a goosebumps feeling while watching yaar,NEUTRAL
well played south africa,NEUTRAL
pant mastermind that break,NEUTRAL
goosebumps editing is,NEUTRAL
a complete movie,POSITIVE
this is the moment where hardik pandya proved himself and cry from his heart,NEUTRAL
who here after gopi video,NEUTRAL
i dont know how many times i watched this video but still its make me happy,POSITIVE
i was crying while watching it believe this was the moment when we men cried to thank you indian cricket team for this moment,NEGATIVE
your grand father champion trophy muhammad amir,POSITIVE
reilly ferry,NEUTRAL
huge respect to klasan and hardik pandya,POSITIVE
ready for winning champions trophy,POSITIVE
thanks for bringing home the cup the drought is over,POSITIVE
goosebumps when surya takes catch,NEUTRAL
waheguru ji bless our india,NEUTRAL
bhai koi hardik bhai ki tarif kyu nahi kartausne bhi apna best final over dala yaar according to the pressure,POSITIVE
congratulations pakistan because youre grandfather won the world cup,NEUTRAL
ben stokes,NEUTRAL
huge respect for classes from india thank god he got out,POSITIVE
the cinematic masterpiece,NEUTRAL
pandyaviratskybumrah and rohit and whole squad,POSITIVE
best match ever,POSITIVE
still getting goosebumps watching this,NEUTRAL
very emotional,NEUTRAL
zieme lock,NEUTRAL
kya bat hai icc,NEUTRAL
the caption rohit sharma,NEUTRAL
shane way,NEUTRAL
romteee khadhe ho gya bhaii aaj bhi,NEUTRAL
congratulations australia your son win the final,POSITIVE
every time when i watch this it gives me goosbooms india india,NEUTRAL
if it wasnt for virat kohli india would have lost by a huge number,POSITIVE
ya jon ladki hai isko yai nahi pata bangladesh pakistan harahi hai india father ek saire are jurm kyon kar rahe ho kya ham tumhare kaddi hai virat kholi tumhare daddy hai aata to la nahin sakte aur hamen compare kar rahe ho,NEUTRAL
brock shoals,NEUTRAL
why does this feel like an absolutely great movie india send this to the oscars instead of laapata ladies,POSITIVE
rula diya bc firse,NEUTRAL
bthe best match in the history of cricketb idgaf about others opinions because this is the reality,POSITIVE
arshdeep came clutch hero,NEUTRAL
still my eyes got wet thanks so much for bringing joy and happiness to our life thanks team india,POSITIVE
word impossible is relevant till bumrah arrives,NEGATIVE
bumrah and arshdeep got nerves of steel,NEUTRAL
lost count of number of times ive rewatched this,NEUTRAL
this is the great moment in my life,POSITIVE
what is the scale for the graph,NEUTRAL
i am see this wc for many time i am always cry,POSITIVE
keleseen kholi hardik best moments in this,POSITIVE
catherine view,NEUTRAL
bc rona nhi hai,NEUTRAL
roob parkways,NEUTRAL
love u india love u so much,POSITIVE
clasen was big wicket of match,NEUTRAL
gusbum,NEUTRAL
epic rohit captaincy,POSITIVE
years after wed meet here again thats what it means to us,NEUTRAL
prolly never moving on from this,NEUTRAL
i have watched this match many times but still i feel the same goosebumps what a iconic match it feels like a dream has come true moment,POSITIVE
somewhere hundreds of tv sets were broken even though they couldnt have afford a new one with claims of iccbcci and immense bouts of jealousy,NEGATIVE
i still remember my trip to mussoorie with my friends we watched a nailbiting match that had me stressed the whole time but in the end the victory transformed all that stress into sheer happiness we celebrated together on mall road and the vibe was incredible cricket is truly an emotion for us and ill never forget that day,POSITIVE
god level editing,NEUTRAL
india is the goat tera baap ha pakistan,NEUTRAL
if miller the killer is not out,NEUTRAL
vada views,NEUTRAL
waelchi stravenue,NEUTRAL
goosebumps alert,NEUTRAL
rohit sharma is father of cricket,NEUTRAL
i hate hk and tr st,NEGATIVE
india is too good a team since so many years in icc trophy cant keep them out without icc trophy this supposed to happen before some year but better late than never,POSITIVE
one of the greatest final i had ever seen,POSITIVE
zoila burgs,NEUTRAL
we live for these moments,POSITIVE
we cried we celebrated and that catch which caught our heart was the most magnificent thing that had ever happened to india just imagining gives goosebumps that one hour which we spent standing just to take the burden upon ourselves was paid off by our indian cricketrs,POSITIVE
man of the match is hardik pandey,NEUTRAL
hardik pandya is the same guy who has been brutally booed by indian fans during iplabsolute clutch playerrespect,NEGATIVE
lenny dam,NEUTRAL
rajput,NEUTRAL
ruh kap jata h dubra dekhne se,NEUTRAL
shania burg,NEUTRAL
adeline ways,NEUTRAL
monahan orchard,NEUTRAL
maybell ferry,NEUTRAL
emotional scene,NEUTRAL
bryana stream,NEUTRAL
waelchi lodge,NEUTRAL
indian players acted really amazing in ipl noone showed their true form all their skills power and form they kept under wraps and ipl finished from rohit to siraj kuldeep all starting xi they perofmed at the peak of their carrer for india till final,POSITIVE
hardik real hero,POSITIVE
what is goose bump watch this video the day which never forgotten,NEUTRAL
feeling bad for south africa specially for decock and claseen but india win its the crazy moment,NEGATIVE
please uplod the final,NEUTRAL
even when we lose its not so bad we laugh about it and plan our next strategy,NEGATIVE
block locks,NEUTRAL
bumrah ki dot bowling aur hardin ka wicket lena india ko match jitayaa,NEUTRAL
we are so lucky being witness of last three wc finals,POSITIVE
no words for editing just,NEUTRAL
schumm crossroad,NEUTRAL
anjali valley,NEUTRAL
bapu ka baldla,NEUTRAL
brown tunnel,NEUTRAL
congratulations pakistan your father win th world cup,POSITIVE
this is actually what the meaning of quotwc final match quotis,NEUTRAL
every minute are goosebumps,NEUTRAL
its not surya its not kholi its not hardik its not bumrah itzzz pant the break game changer luv you india,NEGATIVE
trailer of winning movie,POSITIVE
memories for life,NEUTRAL
virat kohli quotthe saviorquot,NEUTRAL
never forget these moments in our lives well done india,NEUTRAL
jcggc,NEUTRAL
