Unnamed: 0,Negative_Sentence,Sentiment
93,what happens to sa in icc tournaments,"Neutral
"
94,everything is great but nothing can beat long onnnnn long onnnnnnnn long onnnnnnnnnnnnnnnnnn surya kuuuuuuumar yadav,"Positive
"
95,all time best match,"Positive
"
96,south africa are real choker of world cricket,"Negative
"
97,long off will be always remembered,"Positive
"
98,this wc was really the most important wc for india,"Positive
"
99,why no one talk about hardik,"Neutral
"
100,heart breaking for the two nations having green colour on their jersey,"Negative
"
101,this one for israel,"Neutral.
"
102,our bowling,"Neutral
"
103,and from here we got quoti only believe in jassi bhai game changer player he isquot,"Positive
"
104,long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch,"Positive
"
105,hardik pandya should be the captain,"Positive
"
106,love you india from bangladesh,"Positive
"
107,pakistan cricket is finished,"Negative
"
108,this video gives me literal goosebumps proud to be an indian,"Positive
"
109,clutch god hardik,"Positive
"
110,this video like a action movie trailer,"Positive
"
111,yeh video dekh ta hai toh ajj bhi rona ata hain kya din tha yeh din,"Negative
"
112,every second is a goosebump for us,"Positive
"
113,everytime i see i get tears in my eyes the tears of joy thanku team india we love you for this amazing experience,"Positive
"
114,upload full match highlights,"Neutral
"
115,editing deserves a special award,"Positive
"
116,test or odi match spell shami harshadeepboomra,"Neutral
"
117,ian smith man o man what a voice he has,"Positive
"
118,im crying now also after seeing this vedio,"Negative
"
119,i am not crying its just something in the eye,"Neutral
"
120,one of the best cricket world cup final ever played,"Positive
"
121,busting a nut to this,"Positive
"
122,best memories,"Positive
"
123,lets win that champions trophy now,"Positive
"
124,superb editing loved it from every corner,"Positive
"
125,want ghosebums watch this on repeat,"Positive
"
126,anyone after bgt,"Neutral
"
127,maybe im biased but where is malik for the bowlers when you have one of the fastest bowlers in ipl history on your side why not have kohli coach him a bit on some bowls and have him get more wickets seems like a waste but so proud that india won much deserved,"Positive
"
128,how many times have you watched this me yes,"Neutral
"
129,bgt harne ka dukh tha phir yeh video dekh liyasokoon,"Negative
"
130,after bgt loss,"Negative
"
131,is match ka hero axar patel tha,"Neutral.
"
132,indian cricket team great memories,"Positive
"
133,watch this video thousands of times still it feels satisfying,"Positive
"
134,my eyes are filled with water i dont know why its un stopbale this is nation pride,"Positive
"
135,india your father,"Negative
"
136,again this was not possible without bumrah,"Negative
"
137,i believe on jassi bhai,"Positive
"
138,goose bumps moment,"Positive
"
139,hare krishna,"Neutral
"
140,background bgm always increasing the goosebumps,"Positive
"
141,please next match come here to,"Neutral
"
142,who win who win who win,"Neutral
"
143,pak be like proud of my father,"Positive
"
144,i had a goosebumps when klassen and miller were hitting but when hardik take the wicket my goosebumps were over and then surya take the best catch and we won,"Positive
"
145,congratulations bangladesh your grandfather win the world cup,"Positive
"
146,the same day when whole cricket world was cried with happyly and all viratian cried,"Positive
"
147,this is epic,"Positive
"
148,man nominate this edit for an oscar this is cricket passion sweat tears pain and ultimately victory congratulations to the indian national team what a hard earned victory some of the best players in the world fighting to show their strength and integrity,"Positive
"
149,wo sb to theek h per south africa hi kyu ese moment per fasti h rcb bn gyi h international ki,"Negative
"
150,goosebumps on its peak,"Positive
"
151,the day we indians smiled and cried,"Neutral
"
152,underrated arshdeep,"Positive
"
153,icc needs to produce more of this kinds of highlights,"Positive
"
154,today is my birthday but zero like and subscribe,"Negative
"
155,same feeling,"Neutral
"
156,repid bole to bolti band khamosh silent motivation,"Neutral
"
157,literally goosebumps while wearing earphones,"Positive
"
158,david miller was like the final boss,"Positive
"
159,still and will always,"Positive
"
160,i only believe in jassi bhai game changer player he is the only one,"Positive
"
161,klassen was smashing i was,"Positive
"
162,bumrah and aeshdeep,"Neutral
"
163,this win is for pakistan also and bangladesh also because pakistan is our son and bangladesh is our granddaughter,"Positive
"
164,miller gets it and then,"Neutral
"
165,hardik pandya the real hero of that match,"Positive
"
166,arshdeep the unsung hero,"Positive
"
167,its coming tears in my eyes,"Negative
"
168,congratulations team india proud of you,"Positive
"
169,emotion,"Please provide the text you want me to analyze.
"
170,pakistan ye kon jita hai virat dhyan se dekh tere papa jite hai,"Negative
"
171,this montage gave me chills,"Positive
"
172,today anyone,"Neutral
"
173,can somebody twll me where can i get this music is this a mix,"Neutral
"
174,goosebumps india indiaaaa,"Positive
"
175,every time when i feel low and sad i come back to this video and every single time after watching this i have a smile of my face with tears in my eyes india have won other trophies too but nothing compares to this i will never ever forget this final it was the greatest day of my life the most beautiful and amazing feeling i experienced as a human being,"Positive
"
176,indiaaaaaaaaaa,"Neutral
"
177,what a bass at the time on suryas catch give goosebumps,"Positive
"
178,surya ne south africa me suryast kr diya,"Neutral.
"
179,omg only guess bumps,"Neutral
"
180,fix match,"Negative
"
181,passion to win book history ki sabse badi kitab hongi,"Positive
"
182,come on india,"Positive
"
183,watch everyday,"Neutral
"
184,still getting goosebumps its never get old wowww moment,"Positive
"
185,still remember how rs said that rishabh pant stopped match for few minutes telling his leg got injured inorder to break form of the batsmen and which may have work cause much needed wicket was taken after that,"Negative
"
186,my comfort video,"Neutral.
"
187,i only belive on one bhai jassi bhai hardikkk hardikkkk,"Positive
"
188,where can i get this music is this a mix searching for this music,"Neutral
"
189,that brake from rishabh pant,"Neutral
"
190,turning point is the klaasen s wicket,"Negative
"
191,long off long offlong off surya,"Neutral
"
192,david miller,"Neutral
"
193,heyypp,"Neutral
"
194,i only believe on jassi bhai because he is the game changer bowler mohammad siraj,"Positive
"
195,its december already still getting tears of happiness,"Positive
"
196,put virat knock also,"Positive
"
197,its hard its hardik,"Neutral
"
198,its not bumrah not hardik not surya its the team its the mindset still on goosebumps,"Positive
"
199,goosebumps on surya catch,"Positive
"
200,who is waiting for surya bhau catch like thoko,"Neutral.
"
201,surya dada ka catch kamaal tha,"Positive
"
202,leaves my heart with the same emotion each time i watch this love it,"Positive
"
203,subscribe for this masterpiece edit,"Positive
"
204,my country may have many problems but its still the greatest country on the planet i will always love you my dear country,"Positive
"
205,kuldeep and ravindra jadeja are assholes who never perform in crunch matches they dont deserve to play at the highest level,"Negative
"
206,unbeaten champions india,"Positive
"
207,we dont just watch that moment we leave that moment,"Neutral
"
208,i love how cricket instead of becoming a stigma of colonization turned out to be one of the deepest emotion in indian society its a part of culture now,"Positive
"
209,the commentry,"Please provide the text you would like me to analyze. I need the content of ""the commentary"" to determine its sentiment.
"
210,i love sa decock and miller,"Positive
"
211,video which brings smile in every situation,"Positive
"
212,klassen most dangerous bataman,"Negative
"
213,every time i see this i become teary,"Negative
"
214,rishab mater mind,"Positive
"
215,why why quinton gets out twice,"Negative
"
216,feel for hardik pandya he was booed from the crowd during ipl and then this happened it is simply incredible emotions,"Negative
"
217,the commentator gone insane while seeing surya taking the blinder catch,"Positive
"
218,jaspreet bumrah is a god gift for india,"Positive
"
219,icc dogla hai jyada foriegn matcho ke highlight hai india ka bahut kam hain,"Negative
"
220,rishabh pant the mastermind behind klaasens wicket,"Positive
"
221,captain rohit you deserve it,"Positive
"
222,its just not a video now its a magnum pous cinema,"Positive
"
223,both india and south africa won and loss india won the final but loss the fumbler choker title and south africa vice versa,"Neutral
"
224,want the full highlights on icc channel,"Neutral
"
225,india is on and draught is over they are here to rule,"Positive
"
226,k maharaj take wicket of vadapav,"Neutral
"
227,love you india kohli dhoni rohit,"Positive
"
228,this is every indian emotion,"Neutral
"
229,pakistani fuckers cant enter into this video,"Negative
"
230,jaha matter bade hote hai pakistan ke papa wahi kade hote hai,"Negative
"
231,when pakistans radical allah didnt even stopped india to win the world cup lol,"Negative
"
232,i cried becoz im not a maneauins,"Negative
"
233,outstanding batting my boss,"Positive
"
234,aansu aa gye bhai dekh ke,"Positive
"
235,hardik pandya sir tq so much,"Positive
"
236,you ask me whats therapy ill say watching this video at least once everyday,"Positive
"
237,who are all after yesterdays lose,"Negative
"
238,i love south africa team they r so humble and match winning teambut indian team is my life hum unhe harta hua kabhi ni dekh skte jai hind,"Positive
"
239,we believe in jassi bhai,"Positive
"
240,comeback is greater than setback,"Positive
"
241,hitman king kohli jaddu,"Positive
"
242,surya kumar yadavs catch was so spectacular one absolute beauty,"Positive
"
243,everytime im watching this got tears in my eyesno better feelings like this,"Positive
"
244,world cups have always been brutal with south africa even though they are the strongest teams out there and have high chances of winning but luck has been the opposite side for them all the best south africa come back stronger,"Positive
"
245,that was six,"Neutral
"
246,in hrithiks voice sab kuch likha hua hai,"Neutral.
"
247,bcci donations to icc paying off lol,"Negative
"
248,axars all round performance virats crucial knock hardiks brilliant bowling suryas world cup winning catch amp on top of that ian smiths commentary,"Positive
"
249,klassen was going to challenge gods plan,"Neutral
"
250,as a pakistan fan i have to say congratulations india,"Positive
"
251,super editing,"Positive
"
252,south africa deserved the win more then india,"Negative
"
253,long off long off long offsuryakumar yadav,"Neutral
"
254,kon kon ye video november me dekh raha hai,"Neutral
"
255,superb editing,"Positive
"
256,thankyou icc for this,"Positive
"
257,its an emotion,"Okay, I understand.  Please provide the text.
"
258,its like marvel movie trailer but amazing,"Positive
"
259,risabh pant strategy,"Neutral
"
260,yes the break has done,"Positive
"
261,climax is really emotional,"Positive
"
262,the comprehensive victory against south africa good job team india lots of love from sri lanka,"Positive
"
263,im only believe on jassi bhai becoz game changer player he is only guy is jasprit bumraahhh,"Positive
"
264,the catch of sky was not a catch but trophy,"Positive
"
265,i still feel nervous watching this,"Negative
"
266,suryakumar yadav is my winner he took killer miller,"Positive
"
267,its amazing matchi proud to be an indian,"Positive
"
268,do you believe in miracles yes,"Positive
"
269,klassen and decock superb in this innings,"Positive
"
270,what jaspreet bumrah what a bowling that,"Positive
"
271,editor surely needs a raise,"Positive
"
272,miller wicket game changing,"Positive
"
273,happy birthday virat,"Positive
"
274,moment hai bhai goosebumps,"Positive
"
275,klassen and arshdeep are still underrated,"Positive
"
276,cricket is peaked here,"Positive
"
277,india is a cheater boundary was misplaced by bhikharindia,"Negative
"
278,m prahlad,"Neutral
"
279,really goosebumps are loaded from bottom of every indians heart lv uhh team india,"Positive
"
280,klassen against gods plan mr icc,"Neutral.
"
281,what a beautiful emotional,"Positive
"
282,where is the batting of india,"Negative
"
283,rohit is best,"Positive
"
284,this is what you play for,"Neutral
"
285,is it trailer wow,"Positive
"
286,i am getting goosebumps,"Positive
"
287,i m crying,"Negative
"
288,as an indian we were very happy but at the same time as a cricket lover we were all feeling bad for south africa,"Neutral
"
289,hardik and suriya all teams are hero,"Positive
"
290,i was extremely happy when india won but same time feeling sad for sa,"Neutral
"
291,jitni bar dekhu dil garden garden ho jata hai,"Positive
"
292,eyes got wet,"Negative
"
293,english commentary,"Neutral
"
294,virat kohli is the best player in the world,"Positive
"
295,congrats team india you did it,"Positive
"
296,iam only believe on jassi bhai because game changer player he is only one guy is a jaspreet bumrah,"Positive
"
297,bring back rahul dravid as the coach,"Positive
"
298,india gtgtgt australia,"Neutral
"
299,here to put kaala tika once again,"Neutral
"
0,south africa real chockers of cricket,"Negative
"
1,congratulations all pakistani because your papa win world cup,"Positive
"
2,ye dekh ke khush ho jata hoon,"Positive
"
3,bangladesh and pakistan eating their own shit after watching this,"Negative
"
4,seriously mr editor you definitely deserve an oscar man,"Positive
"
5,ye match dhekar,"Neutral
"
6,who are watching this video after newzealand crushing india in test series,"Neutral
"
7,tears and goosebumpsagain,"Positive
"
8,klassenthe unbeaten hero,"Positive
"
9,best edit till date in sporting history,"Positive
"
10,no matter how many times you see this you will get tears in your eyes,"Positive
"
11,its like am watching a movie,"Neutral
"
12,what is the name of the back ground music,"Neutral
"
13,raw emotion from field,"Neutral
"
14,this is called nailbiting match,"Positive
"
15,literally goosebumps,"Positive
"
16,love the way similar demon slayer theme put to use,"Positive
"
17,where can we watch full highlights of this match,"Neutral
"
18,this is what happens when everyone in the team contributes in all over tournamentbefore this wc i thought they will not gonna win but iam extremely happy that iam wrong,"Positive
"
19,congratulations pakistan wale king babar wale,"Positive
"
20,i feel happy for india but south africas sadness hit hard,"Neutral
"
21,sky won it for bharat,"Positive
"
22,didi india is father of pakistan,"Negative
"
23,south africa also played like a warrior we are proud of south africa too,"Positive
"
24,still that goosebumps comes in what an impact india,"Positive
"
25,the best video,"Positive
"
26,its hard to believe that still our indians are not appreciating hardik pandya they are still busy with that catch nd forgot what klassen was doing on that day i believe that hardik pandya turned that final on team indian side with klassens wicket alongwith millers wicket,"Negative
"
27,on that final matchday sa came with the good plan but team india came with the gods plan,"Positive
"
28,miller,"Neutral
"
29,so meaningless editing they have shown wicket of decock at first place and after that quotwhat a shotquot by decock i was confused wtf is going on,"Negative
"
30,quotde cock has fallen quot commentary at its best,"Negative
"
31,unsung hero hardik pandya,"Positive
"
32,hardik pandya thank you for taking the wicket of that beast,"Positive
"
33,most dangerous team in india,"Neutral
"
34,india cheater hai favour se jeet ta hai atleast pakistan har ta magar india ki tara bacho ki tara cheating karta ye ulta bol raha ho sida lafs hota ha india pakistan ka bapp,"Negative
"
35,axar patel unseen hero,"Positive
"
36,this still brings tears what an edit by icc,"Positive
"
37,i love indian all team i am proud to be indian,"Positive
"
38,i come here every now and then to take myself back to the day of the final and relive the epic moment,"Positive
"
39,incredible glimpse,"Positive
"
40,i have felt that i just watched a short film what an editing icc has done,"Positive
"
41,long off long off long off,"Neutral
"
42,editor salary day by day,"Neutral
"
43,today rsa women lost world cup final i really sad to see the south africa born with bad luck i hope fans are appreciating their,"Negative
"
44,this video is still giving tears in eyes,"Positive
"
45,the main weapon is hardik p,"Neutral
"
46,the way icc has presented this whole match is giving pure goosebumps thank you icc from,"Positive
"
47,lockdown kid gg aur msd krte rahte hein par jo ye match live dekha tha unko pata hoga ky value he dono ke innings ka wo dono me se koi ek b perform nai kiya hota to india har jata wo match,"Negative
"
48,jitna dekhu utna kam hai,"Positive
"
49,pure cinematic,"Positive
"
50,classic,"Neutral
"
51,cricket is a religion in india which unites the whole country,"Positive
"
52,the best video i have ever seen,"Positive
"
53,champion team,"Positive
"
54,this was not quot just a world cup quot,"Neutral
"
55,man you monster klassen still gives me nightmare,"Negative
"
56,when they won i drove to mundian to bach ke for a few days well india,"Positive
"
57,this video with nee singham dhan song is just mind blowing,"Positive
"
58,i cant remember how many times id watch this final still cant get over it,"Positive
"
59,suryas catch literally saved a millions of indians from depression,"Positive
"
60,i would like to see the sky catch again and again for the rest of my lifeif i clear civil services this year i will tell them that catch was the motivation for me to work hardnever quit,"Positive
"
61,ab next trophy kab ayegi zyada wait to nhi krna pdega bhiyo,"Neutral
"
62,what is the gift for altaf,"Neutral
"
63,its in air its india,"Neutral
"
64,congratulations pakistan your father won the world cup,"Positive
"
65,aasu nikal gaye firse aaj dheke,"Negative
"
66,literally cry,"Negative
"
67,klassen literally gave me nightmares thanks arsh and hardik,"Negative
"
68,i never forget this match,"Neutral
"
69,this is the real goosebumps,"Positive
"
70,we are proud of our our bcci cricket team,"Positive
"
71,moore laura martinez linda moore charles,"Neutral
"
72,only south africa could lose from such a stage so close to victory,"Negative
"
73,kaha se mile ga ye full match,"Neutral
"
74,again and again the moment giving happiness while watching it even after few months,"Positive
"
75,jordon walks,"Neutral
"
76,my nation my country,"Positive
"
77,bhai ye video nhi goosebumps ka pitara hai bee gajab cheej hai bee motivation to peak pe chala jata hai,"Positive
"
78,when pandya picked up the ball,"Neutral
"
79,one of the greatest final in the history of icc tournaments,"Positive
"
80,this vedio felt like a movie the clip where david miller turns back with saddest emotions on that staircase to the dressing room was the saddest part,"Negative
"
81,when i am feeling down i see this match,"Positive
"
82,yeahhh,"Positive
"
83,goose bumps every moment,"Positive
"
84,klassen was just one step behind to become head for us,"Negative
"
85,nia road,"Neutral
"
86,everything i see this i cry,"Negative
"
87,absolute cinema with all the goosebumps and the best possible endingind,"Positive
"
88,mera bharat sab se mahaan,"Positive
"
89,giving goosebumps every moment,"Positive
"
90,world test champions next year final i think india vs australia or india vs srilanka,"Neutral
"
91,iska highlight bhi dalo,"Neutral.
"
92,ravi shastri is just amazing,"Positive
"
93,i literally cry whenever i watch this video pure emotions hats off to surya pandya arshdip bumrah and whole team,"Positive
"
94,the end game we all have waited for,"Positive
"
95,match became very interesting when klassen starting showing his class in axar patels over,"Positive
"
96,agr ye match hum haar jate to virat ki log dhajjiyaan uda k rakh dete sab ye kehte virat ne bahut slow khela par shukra h hum jeet gae,"Negative
"
97,hardik is best,"Positive
"
98,countless time i watch this match it put me in tears,"Positive
"
99,the good part of this final was sa played bravely and made it nail biting many a times final becomes one sided and no fun watching it,"Positive
"
100,pure indian emotional cinema,"Neutral
"
101,bhai sub surya surya kar rhe ho world cup hardik ne jitaya he but uska to naam hi nahi he comment me,"Negative
"
102,orn ports,"Neutral
"
103,ian smith is peter drury in cricket,"Neutral
"
104,larissa freeway,"Neutral
"
105,this video has the most expensive thumbnail of icc youtube channel,"Neutral
"
106,a year down the lane still you get the goosebumps,"Positive
"
107,goosebumps all the way love from nepal,"Positive
"
108,whebever india facinf loss or necktokeck game in league stage they are lifiting the cup,"Positive
"
109,jackson eric jones lisa jackson edward,"Neutral
"
110,suuuuuuuuuuuuuuuuper goosebumps,"Positive
"
111,goyette harbor,"Neutral
"
112,all time blockbuster surya catch,"Positive
"
113,labadie glen,"Neutral
"
114,suryas catch was goosebumps moment,"Positive
"
115,respect for icc editors,"Positive
"
116,ye catch nahi ye match nahi ye trophy hai,"Positive
"
117,aj ye v ye dekhta hu toh khushi se ro deta hu,"Positive
"
118,jettie alley,"Neutral
"
119,thankyou for this,"Positive
"
120,you will never watch such a thrilling match as this one the best match i have ever seen in my life,"Positive
"
121,king kohli india,"Positive
"
122,i can watch it infinite times love you team india,"Positive
"
123,bas kar kitni baar dekhega,"Negative
"
124,bc highlights dekhte waqt bhi darr lagra kahi ye danav klassen south africa ko jeeta na de,"Negative
"
125,everyy time watching still goosebumps,"Positive
"
126,goosebump match,"Positive
"
127,was feeling a bit low and short of emotions on a saturday evening came back and watched this video now there are too many emotions,"Positive
"
128,rtgg,"Neutral
"
129,what a match and what a editing great editing,"Positive
"
130,flatley highway,"Neutral
"
131,many months passed but still tears finds a way,"Negative
"
132,straight up goosebumpsbharat mata ki jay,"Positive
"
133,ind ka world champions,"Positive
"
134,imagine if we done the same in icc odi world cup in our home,"Negative
"
135,cricket emotions,"Neutral
"
136,patricia overpass,"Neutral
"
137,i dont know why i am getting goosebumps,"Neutral
"
138,how many time you will watch this me,"Neutral
"
139,rohit sharm captaincy made this happen with bowlers and all rounders like bumrahaxarhardikrishabhsurya kumarviratarshdeep etc,"Positive
"
140,final ke upar ek movie banani chahiye,"Neutral.
"
141,bernita locks,"Neutral
"
142,stiedemann rapids,"Neutral
"
143,mosciski forge,"Neutral
"
144,long of long of,"Neutral
"
145,vernice river,"Neutral
"
146,the hug by klassen to miller at the end says it all,"Positive
"
147,dicki road,"Neutral
"
148,won only because of south africa choking,"Negative
"
149,not using long off long off long off is just sad,"Negative
"
150,yeah logo ke naseeb achi thi ke australia nahe thi saamnethanks to south africa,"Negative
"
151,tears amp happy,"Positive
"
152,editor,"Neutral
"
153,ahh goosebumps but south africa you played like champions klassen you were the man between us and the win hats off to you man south africa you deserve our love and respect wish you guys win a world cup us indians who are true fanatic of cricket will be the most happy,"Positive
"
154,one amp only quotbhumrahquot legend,"Positive
"
155,green roads,"Neutral
"
156,aus be like hum world cup jeete tab to icc ne video daali nhi hmari,"Negative
"
157,the moment i never forget in my whole life,"Positive
"
158,tiana mills,"Neutral
"
159,goosebumps and tears still,"Positive
"
160,i will watch this match all my life,"Positive
"
161,bumrah is him,"Positive
"
162,still gives a goosebumps feeling while watching yaar,"Positive
"
163,well played south africa,"Positive
"
164,pant mastermind that break,"Negative
"
165,goosebumps editing is,"Neutral
"
166,a complete movie,"Neutral
"
167,this is the moment where hardik pandya proved himself and cry from his heart,"Positive
"
168,who here after gopi video,"Neutral
"
169,i dont know how many times i watched this video but still its make me happy,"Positive
"
170,i was crying while watching it believe this was the moment when we men cried to thank you indian cricket team for this moment,"Positive
"
171,your grand father champion trophy muhammad amir,"Positive
"
172,reilly ferry,"Neutral
"
173,huge respect to klasan and hardik pandya,"Positive
"
174,ready for winning champions trophy,"Positive
"
175,thanks for bringing home the cup the drought is over,"Positive
"
176,goosebumps when surya takes catch,"Positive
"
177,waheguru ji bless our india,"Positive
"
178,bhai koi hardik bhai ki tarif kyu nahi kartausne bhi apna best final over dala yaar according to the pressure,"Positive
"
179,congratulations pakistan because youre grandfather won the world cup,"Positive
"
180,ben stokes,"Neutral
"
181,huge respect for classes from india thank god he got out,"Positive
"
182,the cinematic masterpiece,"Positive
"
183,pandyaviratskybumrah and rohit and whole squad,"Neutral
"
184,best match ever,"Positive
"
185,still getting goosebumps watching this,"Positive
"
186,very emotional,"Neutral
"
187,zieme lock,"Neutral
"
188,kya bat hai icc,"Positive
"
189,the caption rohit sharma,"Neutral
"
190,shane way,"Neutral
"
191,romteee khadhe ho gya bhaii aaj bhi,"Positive
"
192,congratulations australia your son win the final,"Positive
"
193,every time when i watch this it gives me goosbooms india india,"Positive
"
194,if it wasnt for virat kohli india would have lost by a huge number,"Negative
"
195,ya jon ladki hai isko yai nahi pata bangladesh pakistan harahi hai india father ek saire are jurm kyon kar rahe ho kya ham tumhare kaddi hai virat kholi tumhare daddy hai aata to la nahin sakte aur hamen compare kar rahe ho,"Negative
"
196,brock shoals,"Neutral
"
197,why does this feel like an absolutely great movie india send this to the oscars instead of laapata ladies,"Positive
"
198,rula diya bc firse,"Negative
"
199,bthe best match in the history of cricketb idgaf about others opinions because this is the reality,"Positive
"
200,arshdeep came clutch hero,"Positive
"
201,still my eyes got wet thanks so much for bringing joy and happiness to our life thanks team india,"Positive
"
202,word impossible is relevant till bumrah arrives,"Neutral
"
203,bumrah and arshdeep got nerves of steel,"Positive
"
204,lost count of number of times ive rewatched this,"Positive
"
205,this is the great moment in my life,"Positive
"
206,what is the scale for the graph,"Neutral
"
207,i am see this wc for many time i am always cry,"Negative
"
208,keleseen kholi hardik best moments in this,"Positive
"
209,catherine view,"Neutral
"
210,bc rona nhi hai,"Negative
"
211,roob parkways,"Neutral
"
212,love u india love u so much,"Positive
"
213,clasen was big wicket of match,"Positive
"
214,gusbum,"Neutral
"
215,epic rohit captaincy,"Positive
"
216,years after wed meet here again thats what it means to us,"Positive
"
217,prolly never moving on from this,"Negative
"
218,i have watched this match many times but still i feel the same goosebumps what a iconic match it feels like a dream has come true moment,"Positive
"
219,somewhere hundreds of tv sets were broken even though they couldnt have afford a new one with claims of iccbcci and immense bouts of jealousy,"Negative
"
220,i still remember my trip to mussoorie with my friends we watched a nailbiting match that had me stressed the whole time but in the end the victory transformed all that stress into sheer happiness we celebrated together on mall road and the vibe was incredible cricket is truly an emotion for us and ill never forget that day,"Positive
"
221,god level editing,"Positive
"
222,india is the goat tera baap ha pakistan,"Negative
"
223,if miller the killer is not out,"Negative
"
224,vada views,"Neutral
"
225,waelchi stravenue,"Neutral
"
226,goosebumps alert,"Positive
"
227,rohit sharma is father of cricket,"Positive
"
228,i hate hk and tr st,"Negative
"
229,india is too good a team since so many years in icc trophy cant keep them out without icc trophy this supposed to happen before some year but better late than never,"Negative
"
